,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Hybrid,Planned_Yield_kg_per_ha
261,M7I2089,26.0,2.5,6551.066666666667,172.0,77.0,192.0,DKB360PRO3,6000.0
262,M6I2130,12.0,2.5,4734.444444444444,208.2,114.4,0.0,DKB335PRO3,3600.0
263,M6I2172,12.0,2.72,4734.25,24.2,114.4,0.0,DKB335PRO3,4500.0
264,M7I21131,20.0,3.950561797752809,6921.797752808989,157.45,80.6,111.0,AS1820PRO3,6000.0
265,M7I2196,20.0,3.2,6345.0,137.53500000000003,77.22,109.98,AS1820PRO3,6000.0
266,M7I2198,22.0,3.4,5768.148148148148,97.878,79.976,98.16,AS1820PRO3,6000.0
267,M7I2199,23.0,3.0,5385.4098360655735,133.9,88.4,100.2,DKB360PRO3,4600.0
268,M7I2177,20.0,2.459999918937683,7526.341463414634,204.9,98.8,108.0,AS1822PRO3,6800.0
269,M7I2178,25.0,2.837500015894572,7687.6,111.8,93.6,108.0,AG8700PRO4,4100.0
270,M7I2179,20.0,3.4375,7526.354166666667,19.8,93.6,120.0,AS1822PRO3,6800.0
271,M6I2133,21.0,3.0125,1434.888888888889,244.5,286.0,0.0,DKB265PRO3,4200.0
272,M6I2173,13.0,2.230769230769231,5278.0,244.5,286.0,0.0,DKB335PRO3,4700.0
273,M6I2161,15.0,3.330000000000003,6480.0,213.7,140.4,138.0,AS1800PRO3,4800.0
274,M6I2142,21.0,2.9875,9095.272595544286,210.4,124.8,150.0,DKB360PRO3,5400.0
275,M6I2145,21.0,3.1,8130.11063011063,190.8,249.6,0.0,DKB360PRO3,5400.0
276,M6I21119,15.0,3.0355140186915888,3024.769230769231,15.0,90.0,120.0,AS1633PRO3,3900.0
277,M6I21120,15.0,3.318181818181818,2710.3076923076924,15.0,90.0,120.0,AS1633PRO3,3900.0
278,M6I21121,15.0,3.0355140186915888,3024.8571428571427,15.0,90.0,120.0,AS1633PRO3,3900.0
279,M6I21124,15.0,3.1419354838709674,3266.830065359477,15.0,90.0,120.0,AS1633PRO3,3900.0
280,M6I2146,15.0,2.67,6736.851851851852,34.4,120.4,68.8,AS1822PRO3,7300.0
281,M6I2147,15.0,2.66,6363.333333333333,34.4,120.4,68.8,AS1822PRO3,7300.0
282,M6I2148,15.0,2.66,3400.0,34.4,120.4,68.8,AS1822PRO3,6800.0
283,M6I2149,15.0,2.76,7722.5,34.4,120.4,68.8,AS1822PRO3,7300.0
284,M6I2150,15.0,2.62,4736.5,34.4,120.4,68.8,AS1822PRO3,7300.0
285,M6I2151,15.0,2.8,6221.428571428572,34.4,120.4,68.8,AS1822PRO3,7300.0
286,M6I2152,15.0,2.22,4187.666666666667,34.4,120.4,68.8,AS1822PRO3,7300.0
287,M6I21186,15.0,2.2394736842105263,3097.375,204.6,130.0,130.2,AS1633PRO3,3900.0
288,M6I21187,15.0,2.4363636363636365,2185.0,204.6,130.0,130.2,AS1633PRO3,3500.0
289,M6I21188,24.0,2.6045454545454545,1858.9166666666667,204.6,130.0,130.2,AS1633PRO3,3900.0
290,M2I2118,15.0,3.525,4175.988023952096,130.20000000000002,93.6,120.0,AS1844PRO3,6700.0
291,M2I2120,15.0,2.3200000000000003,7972.954545454545,0.0,0.0,120.0,AG8480PRO3,8000.0
292,M2I2121,9.0,3.595,4123.609467455622,19.8,93.6,120.0,AS1844PRO3,7200.0
293,M2I2122,9.0,3.365,6385.785123966943,185.95000000000002,96.2,120.0,AS1844PRO3,7200.0
294,M2I2141,15.0,2.407264,8170.533333333334,0.0,0.0,120.0,AG8480PRO3,8000.0
295,M6I2185,15.0,2.5,7342.524916943521,247.0,120.0,160.0,DKB290PRO3,5300.0
296,M6I2186,15.0,2.5,7342.532467532467,247.0,120.0,160.0,DKB290PRO3,5300.0
297,M6I21146,12.0,2.95,7889.0625,184.0,0.0,0.0,DKB360PRO3,6300.0
298,M6I21147,12.0,2.9,7350.1984126984125,184.0,0.0,0.0,DKB360PRO3,5900.0
299,M6I21148,14.0,3.2,8663.257670241956,184.0,0.0,0.0,DKB360PRO3,5900.0
300,M6I21149,13.0,2.9,7879.950083194675,184.0,0.0,0.0,DKB360PRO3,5900.0
301,M7I2156,21.0,3.8,6652.177246243484,187.76,135.2,120.0,AG9000PRO3,5100.0
302,M7I2157,21.0,3.4,7674.285714285715,189.14,135.2,111.0,AG9000PRO3,5100.0
303,M7I2158,24.0,3.6,7704.150943396226,179.88,93.6,103.8,AG9000PRO3,5100.0
304,M6I21181,23.0,2.6153846153846154,5666.153846153846,14.0,152.0,0.0,AG8088PRO2,4500.0
305,M6I21182,18.0,2.3625,5678.461538461538,14.0,152.0,0.0,AG8088PRO2,4500.0
306,M7I2101,17.0,3.4,9272.75,210.98,88.4,114.0,DKB360PRO3,5900.0
307,M7I2102,22.0,1.662,4491.777777777777,19.8,93.6,114.0,DKB335PRO3,5900.0
308,M7I2103,20.0,3.7,6625.538461538462,111.8,93.6,90.0,DKB335PRO3,5900.0
309,M7I2104,15.0,2.5,6030.0,213.0,93.6,108.0,DKB360PRO3,5900.0
310,M7I2105,21.0,3.6,6828.0,201.6,83.2,108.0,DKB335PRO3,5900.0
311,M7I2106,17.0,3.5,6522.888888888889,200.39999999999998,88.4,108.0,DKB335PRO3,5900.0
312,M7I2107,19.0,2.0926829268292684,6377.125,232.5,98.8,108.0,DKB360PRO3,6100.0
313,M7I2108,16.0,3.5,9417.692307692309,208.4,93.6,90.0,DKB360PRO3,5900.0
314,M7I2194,17.0,1.825,7513.461538461538,20.9,98.8,108.0,DKB360PRO3,6300.0
315,M7I2195,17.0,1.5182795698924731,7513.406593406594,19.8,93.6,90.0,DKB360PRO3,6300.0
316,M2I2102,20.0,3.362285714285714,10312.378048780489,187.60000000000002,104.0,0.0,DKB255PRO3,6900.0
317,M2I2103,13.0,3.445714285714285,8392.413793103447,179.4,0.0,0.0,DKB255PRO3,6800.0
318,M2I2104,18.0,3.524375,8814.133333333333,201.4,104.0,0.0,DKB255PRO3,6900.0
319,M2I2105,14.0,3.546875,8181.142857142857,187.60000000000002,104.0,132.0,DKB255PRO3,6800.0
320,M2I2106,14.0,2.5,8424.9,201.4,104.0,0.0,DKB255PRO3,6800.0
321,M6I21189,15.0,3.1,7688.625,206.0,104.0,108.0,AS1822PRO3,6400.0
322,M6I2102,15.0,2.5,7189.28,232.0,120.0,120.0,AG8480PRO4,4700.0
323,M6I2103,17.0,2.5,4777.294117647059,280.0,240.0,210.0,AG8480PRO4,4700.0
324,M6I2107,15.0,2.845833333333333,6207.2,237.5,105.0,120.0,DKB335PRO3,4700.0
325,M6I2108,15.0,3.0529411764705885,6363.365384615385,242.0,105.0,155.0,DKB335PRO3,4700.0
326,M6I2112,15.0,2.5821428571428573,6517.666666666667,242.0,105.0,35.0,DKB335PRO3,4700.0
327,M6I2113,15.0,3.1923076923076925,6207.295081967213,242.0,105.0,0.0,DKB335PRO3,5900.0
328,M6I2114,15.0,2.6923076923076925,5389.886363636364,242.0,105.0,120.0,DKB335PRO3,5900.0
329,M7I2147,22.0,2.988888889,7723.823529411765,217.22,157.04,120.0,AG8700PRO3,6400.0
330,M7I2148,17.0,1.982222222,6000.0,263.0,156.0,139.8,AS1800PRO3,5000.0
331,M7I2149,15.0,3.2851851850000005,5861.634615384615,217.0,156.0,138.0,AG8700PRO3,4600.0
332,M7I2180,17.0,2.23,3918.362068965517,221.6,156.0,120.0,AG8700PRO3,6400.0
333,M6I2116,24.0,2.66,4545.245901639344,204.5,128.0,56.0,3500RR2,4600.0
334,M6I2117,23.0,2.25,4856.724137931034,137.0,128.0,56.0,3500RR2,4500.0
335,M6I2118,20.0,2.45,5207.6,56.0,128.0,56.0,3500RR2,4500.0
336,M6I2119,20.0,2.74,3466.0,96.5,128.0,56.0,3500RR2,4600.0
337,M6I2120,20.0,2.88,4227.5,96.5,128.0,56.0,3500RR2,4600.0
338,M6I2121,19.0,2.45,5207.831325301205,204.5,56.0,128.0,3500RR2,4500.0
339,M6I2122,23.0,2.41,5899.36507936508,204.5,128.0,56.0,3500RR2,4500.0
340,M6I2123,21.0,2.45,5208.181818181818,204.5,56.0,128.0,3500RR2,4500.0
341,M6I2124,20.0,2.5,3395.714285714286,137.0,128.0,56.0,3500RR2,4500.0
342,M7I2109,19.0,2.6,1768.4552845528456,150.8,104.0,108.0,AS1868PRO3,3600.0
343,M7I2110,21.0,2.7,2084.205607476636,150.8,104.0,108.0,AS1868PRO3,3600.0
344,M7I2111,19.0,3.4,1578.9528795811518,150.8,104.0,108.0,AS1868PRO3,3600.0
345,M7I2112,20.0,2.9,947.4545454545456,150.8,104.0,108.0,AS1868PRO3,3600.0
346,M7I2113,20.0,3.1,3600.0,150.8,104.0,108.0,AS1868PRO3,3800.0
347,M2I2145,17.0,2.5,4048.0434782608695,230.1,129.5,18.5,AS1850PRO3,6300.0
348,M6I2174,10.0,2.293846153846154,5682.247191011236,198.17000000000002,92.6,120.0,DKB255PRO3,6700.0
349,M6I2175,13.0,3.785454545454545,7694.444444444444,184.37,92.6,120.0,AG9035PRO3,5700.0
350,M6I2176,12.0,3.2555555555555555,3540.0,184.59,93.64,168.0,AG9035PRO3,4400.0
351,M2I2124,15.0,3.01,2775.0714285714284,55.2,0.0,0.0,AG9025PRO3,5300.0
352,M7I21108,24.0,2.7826666666666666,6588.4,206.44,106.08,90.0,AS1820PRO3,5800.0
353,M2I2150,11.0,2.33,8965.0,175.6,0.0,173.6,AG8480PRO3,6700.0
354,M2I2151,15.0,2.1,7992.5,83.6,0.0,173.6,AG8480PRO3,6700.0
355,M7I2124,23.0,2.2,5438.200582687275,207.04000000000002,102.68,132.6,DKB265PRO3,4400.0
356,M7I2125,20.0,3.1,5404.768583450211,207.04000000000002,102.68,132.0,DKB265PRO3,3500.0
357,M7I2126,21.0,2.6,5404.920913884007,207.04000000000002,102.68,132.0,DKB265PRO3,4400.0
358,M6I2162,15.0,2.5,4800.0,121.7,140.4,138.0,AS1800PRO3,4400.0
359,M6I21113,19.0,2.5,3721.794871794872,252.8,112.0,64.0,AS1633,4400.0
360,M7I2137,20.0,2.8705882352941177,8468.058252427185,228.51999999999998,120.64,132.0,AG8700PRO3,6400.0
361,M7I2138,14.0,3.2375,7712.058823529412,144.72,105.04,120.0,AG8700PRO3,6500.0
362,M7I2139,18.0,2.803125,8516.31067961165,228.85,122.2,120.0,AS1820PRO3,7800.0
363,M7I2140,20.0,2.34375,8629.801980198019,228.85,122.2,132.0,AS1820PRO3,7800.0
364,M7I2141,17.0,2.771875,8148.333333333333,227.2,114.4,120.0,AS1820PRO3,7800.0
365,M7I2142,15.0,2.8657142857142857,7712.115384615385,147.8,119.6,120.0,AG8700PRO3,6500.0
366,M7I2143,19.0,2.9611111111111112,8784.857142857143,228.74,121.68,132.0,AG8700PRO3,6400.0
367,M7I2144,18.0,2.1638888888888888,7712.056074766355,228.51999999999998,120.64,120.0,AG8700PRO3,6500.0
368,M7I2145,16.0,3.203333333333333,5810.606060606061,228.51999999999998,120.64,120.0,AS1820PRO3,4000.0
369,M7I2146,19.0,3.55625,8856.9,228.51999999999998,120.64,132.0,AS1820PRO3,7800.0
370,M7I2190,21.0,3.17,7118.876404494382,228.51999999999998,120.64,132.0,AG8700PRO3,6500.0
371,M6I21170,11.0,3.6208333333333336,5672.526315789473,200.0,118.4,120.0,AG8088PRO2,4000.0
372,M6I21171,14.0,3.6583333333333337,4480.0,200.0,118.4,120.0,AG8700PRO3,6500.0
373,M6I21172,11.0,3.6125,9096.666666666666,200.0,118.4,120.0,AG8700PRO3,6400.0
374,M6I21173,11.0,3.201639344262295,5672.583333333333,200.0,118.4,120.0,AG8088PRO2,4000.0
375,M6I21174,14.0,3.778688524590164,4582.8,200.0,118.4,120.0,AG8700PRO3,6500.0
376,M6I21175,13.0,3.756666666666667,4080.0,200.0,118.4,120.0,AG8700PRO3,6500.0
377,M6I2125,13.0,2.55,4734.420500873616,204.5,56.0,128.0,3500RR2,4500.0
378,M6I2126,15.0,2.55,5089.285714285715,204.5,56.0,132.8,3500RR2,4400.0
379,M6I2127,15.0,2.46,5089.423648247178,204.5,56.0,128.0,3500RR2,4400.0
380,M6I2128,15.0,2.43,5088.96551724138,204.5,56.0,128.0,3500RR2,4400.0
381,M6I2129,9.0,2.375,4941.2855377008655,204.5,56.0,128.0,3500RR2,4400.0
382,M7I21106,15.0,3.648484848484848,6571.985294117647,159.3,114.4,114.0,AS1868PRO3,5400.0
383,M7I21107,15.0,3.574647887323944,7423.928571428572,159.3,112.2,114.0,AS1868PRO3,5400.0
384,M6I2156,15.0,2.5,11529.833333333334,116.2,114.4,0.0,AS1822PRO3,8100.0
385,M6I2157,15.0,2.5,8623.333333333334,125.4,114.4,0.0,AS1822PRO3,8100.0
386,M2I2131,9.0,2.275294117647059,7384.7,42.0,0.0,99.0,AG8480PRO3,5900.0
387,M2I2132,15.0,2.132941176470588,2945.75,40.0,0.0,30.0,AG8480PRO3,5900.0
388,M2I2133,15.0,3.245,8827.368421052632,0.0,0.0,99.0,AG8480PRO3,5600.0
389,M7I21124,16.0,1.8857142857142857,6600.0,209.0,70.0,97.0,AS1868PRO3,3600.0
390,M7I21125,15.0,1.7,1578.8709677419354,209.0,70.0,97.0,AS1868PRO3,3600.0
391,M7I21126,15.0,2.20625,3538.695652173913,196.65,70.84,72.0,AS1868PRO3,3800.0
392,M7I21127,11.0,1.586111111111111,5800.0,196.65,93.61,72.0,AS1868PRO3,3600.0
393,M7I21128,17.0,1.9933333333333332,6600.0,209.0,70.0,97.0,AS1868PRO3,3600.0
394,M7I21129,12.0,2.225,2210.5333333333333,209.0,70.0,97.0,AS1868PRO3,3600.0
395,M7I2166,21.0,2.5,8348.22966507177,198.33,105.16,120.0,DKB360PRO3,5800.0
396,M7I2167,19.0,2.5,8765.66037735849,109.22,103.6,120.0,DKB360PRO3,5800.0
397,M6I2155,8.0,2.750270276456266,4613.4,0.22,1.04,0.0,AG9030PRO3,3500.0
398,M7I21130,12.0,1.5,2210.531914893617,209.0,70.0,97.0,AS1868PRO3,3600.0
399,M6I21100,19.0,3.1,9223.606557377048,210.8,108.0,162.0,AG8065PRO3,6900.0
400,M6I2199,18.0,3.1,8970.555555555555,220.0,108.0,162.0,AG8065PRO3,6900.0
401,M6I21142,15.0,2.5,3266.7832167832166,0.0,0.0,90.0,AS1633PRO3,3900.0
402,M7I2168,23.0,2.1875,7070.7019967349,196.41,90.07000000000001,0.0,DKB360PRO3,5400.0
403,M7I2169,21.0,1.8125,7070.6731367425655,196.41,90.07000000000001,0.0,DKB360PRO3,5400.0
404,M7I2170,21.0,2.24,5328.645833333333,226.26,106.72,0.0,DKB360PRO3,3900.0
405,M7I2171,22.0,1.988888888888889,7513.445462785779,196.41,90.07000000000001,0.0,DKB360PRO3,5800.0
406,M7I2172,21.0,1.776923076923077,7871.1952487008175,210.21,90.07000000000001,0.0,DKB360PRO3,5800.0
407,M7I2173,21.0,1.6933333333333334,7871.193765961626,225.59,100.88,0.0,DKB360PRO3,5800.0
408,M7I21110,22.0,2.5,5861.645569620253,206.44,106.08,120.0,AG8700PRO3,4100.0
409,M7I21111,23.0,2.5,4806.588235294118,206.44,106.08,120.0,AG8700PRO3,4100.0
410,M7I21112,20.0,2.5,4806.538461538462,206.44,106.08,120.0,AG8700PRO3,4100.0
411,M7I21113,23.0,4.9,7952.4,209.63,121.16,120.0,AG9030PRO3,4200.0
412,M7I21114,21.0,5.746666666666667,6542.461538461538,209.63,121.16,120.0,AG9030PRO3,4500.0
413,M7I21115,23.0,5.63,7501.692307692308,209.63,121.16,120.0,AG9030PRO3,4500.0
414,M7I21116,22.0,5.58,4867.6,209.63,121.16,120.0,AG9030PRO3,4500.0
415,M7I21117,18.0,5.46,6006.75,209.63,121.16,120.0,AG9030PRO3,4500.0
416,M7I21118,21.0,5.430769230769231,5895.826086956522,209.63,121.16,120.0,AG9030PRO3,4200.0
417,M7I2121,13.0,3.725806160860284,8669.655172413793,125.30000000000001,78.0,84.0,AG7098TRE,6600.0
418,M7I2122,22.0,3.641414141414141,5040.0,128.5,78.0,66.0,AS1800PRO3,5000.0
419,M7I2123,13.0,2.5,7920.0,131.7,78.0,84.0,AG7098TRE,6600.0
420,M7I2154,27.0,2.8,4800.0,171.5,77.7,90.0,AG8780PRO4,4000.0
421,M7I2155,27.0,3.5,4680.0,171.5,77.7,120.0,AG8780PRO4,3600.0
422,M6I21101,15.0,2.5,5190.0,92.0,0.0,0.0,DKB265PRO3,4600.0
423,M6I2169,15.0,3.0,1608.6046511627908,208.2,114.4,0.0,DKB265PRO3,4800.0
424,M7I2159,23.0,1.6800000000000002,9207.592592592591,145.0,104.0,120.0,DKB360PRO3,5400.0
425,M7I2160,17.0,1.5666666666666669,9349.444444444443,145.0,104.0,120.0,DKB360PRO3,5400.0
426,M7I2161,26.0,2.4511111111111115,7070.72,145.0,104.0,120.0,DKB360PRO3,5400.0
427,M7I2162,24.0,2.542222222222222,5280.0,143.0,92.0,120.0,DKB290TRE,5300.0
428,M7I2163,25.0,1.551923076923077,7871.192052980133,145.0,104.0,120.0,DKB360PRO3,5800.0
429,M6I21112,19.0,2.7,5519.069767441861,92.0,0.0,0.0,AG8065PRO3,8500.0
430,M6I21134,12.0,2.69875,4573.619047619048,194.0,94.0,90.0,AS1868PRO3,5400.0
431,M6I21135,19.0,2.89,7602.166666666667,194.0,94.0,90.0,AS1868PRO3,5200.0
432,M6I21136,18.0,2.635,6183.238095238095,194.0,94.0,90.0,AS1868PRO3,5400.0
433,M6I21137,17.0,2.7625,7874.272727272727,194.0,94.0,90.0,AS1868PRO3,5400.0
434,M6I21138,17.0,2.38,6634.102564102564,194.0,94.0,90.0,AS1868PRO3,5400.0
435,M6I21139,15.0,4.4,2324.6,10.0,94.0,90.0,AS1868PRO3,5400.0
436,M6I21140,15.0,2.93,2324.5238095238096,10.0,94.0,90.0,AS1868PRO3,5400.0
437,M7I2150,17.0,3.3,4800.0,180.7,77.7,102.0,AG7098TRE,6000.0
438,M7I2151,29.0,3.1,3792.9,171.5,77.7,78.0,AG8700PRO3,5900.0
439,M7I2152,27.0,3.35,3612.1951219512193,171.5,77.7,78.0,AG8700PRO3,5900.0
440,M7I2153,30.0,3.05,3612.1917808219177,171.5,77.7,78.0,AG8700PRO3,5900.0
441,M6I21178,15.0,2.8,9984.857142857143,38.0,91.2,38.0,AG1051,9800.0
442,M7I2114,14.0,3.4595238095238097,4648.488372093023,211.7,109.2,0.0,AS1820PRO3,4000.0
443,M7I2115,15.0,3.905769230769231,4648.431372549019,423.4,218.4,204.0,AS1820PRO3,4000.0
444,M7I2127,20.0,3.325,6837.65306122449,115.1,109.2,102.0,AS1844PRO3,6000.0
445,M7I2128,16.0,3.4477611940298507,8205.151515151516,211.7,109.2,0.0,AS1844PRO3,7200.0
446,M7I2193,25.0,3.1818181818181817,8205.166666666666,207.1,109.2,0.0,AS1844PRO3,7200.0
447,M6I21133,12.0,2.7125,6477.0,207.65,111.8,120.0,AS1666PRO3,3700.0
448,M6I21131,11.0,2.2285714285714286,4453.0,207.65,111.8,120.0,AS1666PRO3,3700.0
449,M6I21132,16.0,2.18125,3628.0,207.65,111.8,120.0,AS1666PRO3,3300.0
450,M6I21130,14.0,2.1707317073170733,2670.75,207.65,111.8,120.0,AS1666PRO3,3300.0
451,M6I2137,17.0,0.4,2225.0,199.4,72.8,120.0,AG9030PRO3,3600.0
452,M6I21205,17.0,2.7564102564102564,5091.914893617021,153.8,93.6,120.0,DKB360PRO3,5400.0
453,M6I2164,23.0,2.5,7201.851851851852,210.0,104.0,120.0,DKB360PRO3,5300.0
454,M6I2165,13.0,2.661904761904762,5091.964285714285,153.8,93.6,108.0,DKB360PRO3,5400.0
455,M6I2166,16.0,2.6166666666666667,5092.0,153.8,93.6,90.0,DKB360PRO3,5400.0
456,M6I2167,25.0,2.5,7029.069767441861,108.1,83.2,120.0,DKB360PRO3,5400.0
457,M6I2168,25.0,2.7564102564102564,6981.276595744681,210.0,104.0,120.0,DKB360PRO3,5400.0
458,M6I2183,14.0,2.5708333333333333,4054.7619047619046,206.4,78.4,134.8,DKB360PRO3,4300.0
459,M6I2184,16.0,2.5278260869565217,4054.7619047619046,153.8,93.6,120.0,DKB360PRO3,4300.0
460,M7I2129,15.0,3.2,5927.894736842105,206.4,112.0,120.0,DKB290TRE,5500.0
461,M7I2130,15.0,4.2,7680.0,203.2,96.0,108.0,DKB290TRE,5500.0
462,M7I2131,15.0,3.5,6623.958333333333,203.2,96.0,108.0,AG8700PRO4,4600.0
463,M7I2132,15.0,3.6,8280.0,203.2,96.0,108.0,AG8700PRO4,4600.0
464,M7I2133,15.0,4.4,7668.0,203.2,96.0,108.0,DKB290TRE,5500.0
465,M7I2134,15.0,2.3,7668.0,203.2,96.0,108.0,DKB290TRE,5500.0
466,M7I2135,22.0,2.7071428571428573,6399.72972972973,203.2,96.0,90.0,DKB390PRO4,5200.0
467,M7I2136,19.0,2.4,5748.035714285715,203.2,96.0,90.0,DKB390PRO4,5200.0
468,M6I21102,17.0,3.046875,4054.754098360656,156.4,78.4,164.8,DKB360PRO3,4300.0
469,M6I21183,15.0,2.5,4650.769230769231,215.4,108.0,168.0,AG8065PRO3,6900.0
470,M6I21184,15.0,3.1,6298.125,220.0,108.0,162.0,AG8065PRO3,6900.0
471,M6I21185,15.0,3.1,8210.882352941177,220.0,108.0,174.0,AG8065PRO3,6900.0
472,M6I21143,9.0,3.540625,11689.75,191.34,121.68,138.0,DKB177PRO3,7500.0
473,M6I21144,10.0,2.8833333333333333,9552.08695652174,191.34,121.68,138.0,DKB177PRO3,7500.0
474,M6I21145,12.0,2.940625,10369.565217391304,177.32000000000002,120.64,138.0,DKB177PRO3,7500.0
475,M6I2188,19.0,2.5,4670.967741935484,218.5,119.6,0.0,DKB265PRO3,4600.0
476,M7I2174,25.0,2.43,11398.984771573603,200.28,76.96,0.0,3700RR2,6900.0
477,M7I2175,20.0,2.59,11261.478260869566,203.57999999999998,92.56,102.0,3700RR2,6900.0
478,M7I2176,21.0,2.0,9490.78073089701,200.28,76.96,0.0,3700RR2,6900.0
479,M7I2182,20.0,2.68625,4299.875,215.24,147.68,90.0,AS1820PRO3,3700.0
480,M7I2183,24.0,3.8146874999999993,8516.307692307691,215.79,150.28,90.0,AS1820PRO3,7100.0
481,M7I2184,20.0,3.5370000000000004,4299.8,215.24,147.68,90.0,AS1820PRO3,3700.0
482,M7I2185,19.0,3.5775,6908.25,215.24,147.68,120.0,AS1820PRO3,7100.0
483,M7I2186,24.0,1.5891891891891892,10182.933333333332,271.55,132.6,108.0,DKB290PRO3,6700.0
484,M7I2187,21.0,1.5192307692307692,11515.6,271.77,133.64,108.0,DKB290PRO3,6700.0
485,M7I2188,20.0,2.1115384615384616,8252.4,258.05,132.6,108.0,DKB290PRO3,6700.0
486,M7I2189,24.0,1.4675675675675677,8504.8,271.55,132.6,108.0,DKB290PRO3,6700.0
487,M6I21179,15.0,2.7,5498.266666666666,112.0,86.4,78.0,AG8480PRO4,3800.0
488,M6I21180,15.0,2.66,5880.0,128.0,86.4,36.0,AG8480PRO4,3800.0
489,M6I2187,25.0,2.5,9267.777777777776,208.0,136.0,168.0,DKB360PRO3,4900.0
490,M7I2192,15.0,2.8,5392.731741573034,44.1,0.0,120.0,AG8700PRO3,4600.0
491,M7I21101,19.0,3.333333333333333,5610.5,208.10000000000002,98.8,90.0,DKB265PRO3,5100.0
492,M7I21102,21.0,3.2583333333333337,5610.416666666667,208.10000000000002,98.8,90.0,DKB265PRO3,5100.0
493,M7I21103,22.0,2.89375,5610.540540540541,210.4,98.8,90.0,DKB265PRO3,5100.0
494,M7I21104,21.0,3.18125,8378.648648648648,170.3,98.8,90.0,DKB265PRO3,5100.0
495,M7I21105,19.0,2.812903225806452,5610.5970149253735,173.5,98.8,90.0,DKB265PRO3,5100.0
496,M6I21190,18.0,4.16,5955.0,242.0,0.0,100.0,AG8480PRO3,7100.0
497,M6I21191,21.0,2.5,6707.4,265.0,0.0,100.0,AG8480PRO3,7100.0
498,M6I21192,22.0,2.91,3566.6129032258063,265.0,0.0,100.0,AG8480PRO3,7200.0
499,M6I21193,18.0,3.3466666666666667,6105.581395348837,265.0,0.0,100.0,AG8480PRO3,7100.0
500,M6I21197,15.0,2.597850968320494,4073.493975903615,92.0,0.0,0.0,DKB360PRO3,5400.0
501,M6I21199,17.0,3.12,6969.677419354839,184.0,0.0,0.0,DKB360PRO3,5400.0
502,M6I21200,19.0,2.93,6969.636363636364,92.0,0.0,0.0,DKB360PRO3,5400.0
503,M6I21201,17.0,3.2400000000000007,7954.666666666667,207.0,0.0,0.0,DKB360PRO3,5800.0
504,M6I21202,18.0,4.25,6392.846153846154,184.0,0.0,0.0,DKB360PRO3,5400.0
