,0,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,value,Soil_pH
19491,3662.7884615384614,3.0529411764705885,350.0,15,350,754.39,5.5
19511,3717.0,2.5821428571428573,350.0,15,350,1094.21,5.5
19531,3540.0,3.1923076923076925,350.0,15,350,631.06,5.5
19551,3268.409090909091,2.6923076923076925,200.0,15,350,991.57,5.5
19561,3268.409090909091,2.6923076923076925,350.0,15,350,991.57,5.5
19581,2957.16814159292,3.5780769036366387,200.0,12,450,13.1,5.5
19611,1538.9705882352941,3.061363636363637,200.0,10,450,-557.02,5.5
19641,1950.5813953488373,3.181578943603917,200.0,15,450,313.0,5.5
19671,2688.36370919287,0.3868888888888889,200.0,19,450,2381.35,5.5
19701,1650.967741935484,3.2058823529411766,175.0,23,450,-403.45,5.5
19711,1650.967741935484,3.2058823529411766,205.0,23,450,-403.45,5.5
19721,1650.967741935484,3.2058823529411766,135.0,23,450,-403.45,5.5
19731,1650.967741935484,3.2058823529411766,151.0,23,450,-403.45,5.5
19741,1650.967741935484,3.2058823529411766,7.0,23,450,-403.45,5.5
19761,3373.809523809524,2.450136363636364,193.0,23,450,266.99,5.5
19771,3373.809523809524,2.450136363636364,208.0,23,450,266.99,5.5
19781,3373.809523809524,2.450136363636364,153.0,23,450,266.99,5.5
19791,3373.809523809524,2.450136363636364,150.0,23,450,266.99,5.5
19811,2042.0,4.0,200.0,20,450,-1210.33,5.5
19821,2042.0,4.0,250.0,20,450,-1210.33,5.5
19831,2042.0,4.0,175.0,20,450,-1210.33,5.5
19841,2919.090909090909,3.1,200.0,23,450,-401.61,5.5
19851,2919.090909090909,3.1,250.0,23,450,-401.61,5.5
19861,2919.090909090909,3.1,175.0,23,450,-401.61,5.5
19871,2919.090909090909,3.1,200.0,23,450,-401.61,5.5
19881,3232.2916666666665,3.4,200.0,26,450,-60.97,5.5
19891,3232.2916666666665,3.4,175.0,26,450,-60.97,5.5
19901,3232.2916666666665,3.4,200.0,26,450,-60.97,5.5
19911,2627.2727272727275,3.4,200.0,22,450,-697.13,5.5
19921,2627.2727272727275,3.4,250.0,22,450,-697.13,5.5
19931,2627.2727272727275,3.4,175.0,22,450,-697.13,5.5
19941,2105.4430379746836,3.3,200.0,23,450,-636.59,5.5
19951,2105.4430379746836,3.3,250.0,23,450,-636.59,5.5
19961,2105.4430379746836,3.3,175.0,23,450,-636.59,5.5
19971,2231.224127735068,3.4,250.0,20,450,-209.26,5.5
19981,2231.224127735068,3.4,175.0,20,450,-209.26,5.5
19991,2231.224127735068,3.4,200.0,20,450,-209.26,5.5
20001,3004.8,3.3,200.0,22,450,-609.78,5.5
20011,3004.8,3.3,250.0,22,450,-609.78,5.5
20021,3004.8,3.3,175.0,22,450,-609.78,5.5
20231,2724.0163934426228,2.66,120.0,24,350,212.07,5.5
20241,2724.0163934426228,2.66,350.0,24,350,212.07,5.5
20251,2724.0163934426228,2.66,240.0,24,350,212.07,5.5
20271,2759.137931034483,2.25,120.0,23,350,525.88,5.5
20281,2759.137931034483,2.25,350.0,23,350,525.88,5.5
20301,2970.0,2.45,120.0,20,350,-501.85,5.5
20311,2970.0,2.45,350.0,20,350,-501.85,5.5
20321,2072.8,2.74,120.0,20,350,-367.94,5.5
20331,2072.8,2.74,350.0,20,350,-367.94,5.5
20351,2245.0,2.88,120.0,20,350,-447.93,5.5
20361,2245.0,2.88,350.0,20,350,-447.93,5.5
20381,2969.879518072289,2.45,120.0,19,350,286.75,5.5
20391,2969.879518072289,2.45,350.0,19,350,286.75,5.5
20401,2969.879518072289,2.45,240.0,19,350,286.75,5.5
20421,3495.3968253968255,2.41,120.0,23,350,420.36,5.5
20431,3495.3968253968255,2.41,350.0,23,350,420.36,5.5
20441,3495.3968253968255,2.41,240.0,23,350,420.36,5.5
20461,2970.0,2.45,120.0,21,350,327.75,5.5
20471,2970.0,2.45,350.0,21,350,327.75,5.5
20481,2970.0,2.45,240.0,21,350,327.75,5.5
20501,1685.0,2.5,120.0,20,350,232.41,5.5
20511,1685.0,2.5,350.0,20,350,232.41,5.5
20531,4907.7192982456145,3.436,300.0,18,450,742.69,5.5
20581,5038.326506729081,2.5,266.0,25,450,1488.34,5.5
20631,4973.421926910299,2.602702702702703,281.36,23,450,1491.18,5.5
20841,2108.2608695652175,2.5,370.0,17,350,1081.32,5.5
20961,3165.0561797752807,2.293846153846154,300.0,10,350,863.47,5.5
21011,3847.222222222222,3.785454545454545,300.0,13,350,-254.38,5.5
21071,1770.0,3.2555555555555555,300.0,12,350,9.29,5.5
21141,3013.9823008849557,2.006896551724138,143.0,23,450,1563.34,5.5
21151,3013.9823008849557,2.006896551724138,257.0,23,450,1563.34,5.5
21171,2443.9024390243903,1.9853658536585368,143.0,18,450,1375.42,5.5
21181,2443.9024390243903,1.9853658536585368,257.0,18,450,1375.42,5.5
21261,4699.857142857143,2.5,250.0,23,450,575.77,5.5
21271,4699.857142857143,2.5,200.0,23,450,575.77,5.5
21281,4699.857142857143,2.5,320.0,23,450,575.77,5.5
21311,5028.315789473684,2.45,250.0,19,450,519.62,5.5
21321,5028.315789473684,2.45,320.0,19,450,519.62,5.5
21331,5028.315789473684,2.45,200.0,19,450,519.62,5.5
21361,5892.413793103448,2.9,250.0,21,450,258.82,5.5
21371,5892.413793103448,2.9,320.0,21,450,258.82,5.5
21381,5892.413793103448,2.9,200.0,21,450,258.82,5.5
21411,4361.6,2.855,250.0,15,450,95.45,5.5
21421,4361.6,2.855,320.0,15,450,95.45,5.5
21431,4361.6,2.855,200.0,15,450,95.45,5.5
21461,4832.9807692307695,2.21,250.0,18,450,682.7,5.5
21471,4832.9807692307695,2.21,200.0,18,450,682.7,5.5
21481,4832.9807692307695,2.21,320.0,18,450,682.7,5.5
21511,3304.6875,2.5,480.0,15,350,823.01,6.7
21531,4148.536585365854,2.5,480.0,22,350,1048.2,6.3
21561,3275.3658536585367,2.5,480.0,23,350,978.31,6.3
21591,3338.9247311827958,2.5,480.0,24,350,1001.64,6.3
21621,4389.375,2.5,480.0,21,350,1050.3,6.7
21651,4778.367346938776,2.33,160.0,11,350,581.15,5.5
21691,4260.0,2.1,160.0,15,350,22.05,5.5
21721,2904.0047405066416,2.2,245.0,23,350,1256.69,5.5
21761,2729.873772791024,3.1,245.0,20,350,525.31,5.5
21801,2730.0527240773285,2.6,245.0,21,350,917.24,5.5
22161,3245.4761904761904,2.15,160.0,21,450,372.01,5.5
22171,3245.4761904761904,2.15,205.0,21,450,372.01,5.5
22181,3245.4761904761904,2.15,142.0,21,450,372.01,5.5
22191,3245.4761904761904,2.15,125.0,21,450,372.01,5.5
22201,3245.4761904761904,2.15,157.0,21,450,372.01,5.5
22211,308.3333333333333,1.85,150.0,27,450,808.53,5.5
22221,308.3333333333333,1.85,172.0,27,450,808.53,5.5
22261,3120.0,2.5,400.0,19,350,1291.91,5.5
22851,2853.0158730158732,2.6387363038714398,250.0,17,350,239.54,6.651935719503285
22881,3682.205882352941,2.60996584605058,250.0,22,350,393.43,6.305998262689277
22911,3414.6363636363635,3.6932432432432423,250.0,18,350,-473.88,6.021621621621621
23001,2660.9473684210525,3.6208333333333336,200.0,11,350,-109.83,5.5
23011,2660.9473684210525,3.6208333333333336,320.0,11,350,-109.83,5.5
23031,4368.0,3.6583333333333337,200.0,14,350,-113.96,5.5
23041,4368.0,3.6583333333333337,320.0,14,350,-113.96,5.5
23061,5049.666666666667,3.6125,200.0,11,350,4.76,5.5
23071,5049.666666666667,3.6125,320.0,11,350,4.76,5.5
23091,2661.0,3.201639344262295,200.0,11,350,201.58,5.5
23101,2661.0,3.201639344262295,320.0,11,350,201.58,5.5
23121,4468.16,3.778688524590164,200.0,14,350,-199.84,5.5
23131,4468.16,3.778688524590164,320.0,14,350,-199.84,5.5
23151,3978.0,3.756666666666667,200.0,13,350,-219.87,5.5
23161,3978.0,3.756666666666667,320.0,13,350,-219.87,5.5
23181,5134.3,4.241269841269841,320.0,16,450,-302.4,5.5
23221,2887.8688524590166,2.501639344262295,320.0,16,450,901.63,5.5
23261,4369.538461538462,2.5,320.0,12,450,865.69,5.5
23301,2043.851851851852,2.963235294117647,270.0,17,450,508.42,5.5
23341,5810.75,3.01,450.0,15,450,-615.47,5.5
23351,5810.75,3.01,200.0,15,450,-615.47,5.5
23521,5395.076923076923,3.196551724137931,185.0,26,450,587.82,5.5
23571,5373.0,2.01,290.0,19,450,1700.85,5.5
23631,5075.684210526316,2.8991625,165.0,17,450,-172.76,5.5
23641,5075.684210526316,2.8991625,205.0,17,450,-172.76,5.5
23651,5075.684210526316,2.8991625,170.0,17,450,-172.76,5.5
23661,5075.684210526316,2.8991625,105.0,17,450,-172.76,5.5
23671,5075.684210526316,2.8991625,150.0,17,450,-172.76,5.5
23681,5157.798165137615,3.4415333333333336,130.0,22,450,-545.77,5.5
23691,5157.798165137615,3.4415333333333336,205.0,22,450,-545.77,5.5
23701,5157.798165137615,3.4415333333333336,102.0,22,450,-545.77,5.5
23711,5157.798165137615,3.4415333333333336,151.0,22,450,-545.77,5.5
23721,5157.798165137615,3.4415333333333336,150.0,22,450,-545.77,5.5
23731,4042.8,2.0653,142.0,19,450,403.06,5.5
23741,4042.8,2.0653,205.0,19,450,403.06,5.5
23751,4042.8,2.0653,130.0,19,450,403.06,5.5
23761,4042.8,2.0653,140.0,19,450,403.06,5.5
23771,4042.8,2.0653,150.0,19,450,403.06,5.5
23791,5603.1,3.068792307692308,140.0,22,450,-269.84,5.5
23801,5603.1,3.068792307692308,150.0,22,450,-269.84,5.5
23811,5603.1,3.068792307692308,130.0,22,450,-269.84,5.5
24031,2700.058241118229,2.55,120.0,13,350,74.28,5.5
24041,2700.058241118229,2.55,350.0,13,350,74.28,5.5
24051,2700.058241118229,2.55,240.0,13,350,74.28,5.5
24071,2719.196428571429,2.55,128.0,15,350,127.18,5.5
24081,2719.196428571429,2.55,350.0,15,350,127.18,5.5
24091,2719.196428571429,2.55,240.0,15,350,127.18,5.5
24111,2719.251336898396,2.46,120.0,15,350,193.44,5.5
24121,2719.251336898396,2.46,350.0,15,350,193.44,5.5
24131,2719.251336898396,2.46,240.0,15,350,193.44,5.5
24151,2719.310344827586,2.43,120.0,15,350,215.73,5.5
24161,2719.310344827586,2.43,350.0,15,350,215.73,5.5
24171,2719.310344827586,2.43,240.0,15,350,215.73,5.5
24191,2640.2966625463537,2.375,120.0,9,350,128.99,5.5
24201,2640.2966625463537,2.375,350.0,9,350,128.99,5.5
24211,2640.2966625463537,2.375,240.0,9,350,128.99,5.5
24271,3660.0,3.574647887323944,220.0,15,350,-140.26,5.5
24371,3353.75,1.7,125.0,21,450,710.23,5.5
24381,3353.75,1.7,450.0,21,450,710.23,5.5
24391,3353.75,1.7,150.0,21,450,710.23,5.5
24401,3353.75,1.7,130.0,21,450,710.23,5.5
24411,3353.75,1.7,210.0,21,450,710.23,5.5
24421,3145.5550437586367,2.45,105.0,21,450,201.1,5.5
24431,3145.5550437586367,2.45,305.0,21,450,201.1,5.5
24441,3145.5550437586367,2.45,104.0,21,450,201.1,5.5
24451,3145.5550437586367,2.45,200.0,21,450,201.1,5.5
24461,3145.5550437586367,2.45,150.0,21,450,201.1,5.5
24471,3773.75,1.6,105.0,27,450,830.19,5.5
24481,3773.75,1.6,322.0,27,450,830.19,5.5
24491,3773.75,1.6,160.0,27,450,830.19,5.5
24501,3773.75,1.6,200.0,27,450,830.19,5.5
24511,3773.75,1.6,90.0,27,450,830.19,5.5
24691,3339.549180327869,3.5431200000000005,204.0,14,450,291.22,5.5
24771,2870.9166666666665,2.132941176470588,200.0,15,350,-503.51,5.5
24791,1980.0,1.8857142857142857,250.0,16,350,1363.32,5.5
24831,1500.0,1.7,250.0,15,350,1199.44,5.5
24871,1206.0869565217392,2.20625,253.0,15,350,949.9,5.5
24901,1740.0,1.586111111111111,253.0,11,350,1283.56,5.5
24931,1980.0,1.9933333333333332,250.0,17,350,1303.87,5.5
24961,2100.0,2.225,250.0,12,350,890.51,5.5
25001,4226.8421052631575,1.5,200.0,15,450,75.63,5.5
25011,4226.8421052631575,1.5,180.0,15,450,75.63,5.5
25021,4521.5625,1.9,200.0,8,450,53.55,5.5
25031,4521.5625,1.9,200.0,8,450,53.55,5.5
25051,3201.714285714286,2.0,200.0,15,450,382.73,5.5
25061,3201.714285714286,2.0,200.0,15,450,382.73,5.5
25071,3201.714285714286,2.0,200.0,15,450,382.73,5.5
25091,4201.111111111111,2.0,200.0,15,450,-251.63,5.5
25101,4201.111111111111,2.0,180.0,15,450,-251.63,5.5
25111,4200.0,2.5,280.0,21,350,1038.11,5.5
25151,4410.0,2.5,280.0,19,350,205.61,5.5
25181,3088.214285714286,2.2,400.0,15,450,-382.54,5.5
25201,2706.153846153846,3.4420000076293946,320.0,14,450,108.08,5.5
25221,2663.913043478261,3.322222179836697,320.0,13,450,168.08,5.5
25241,2391.8571428571427,3.3119999980926518,320.0,13,450,167.67,5.5
25271,991.2258064516129,3.047962962962964,250.0,18,450,78.64,5.5
25281,991.2258064516129,3.047962962962964,250.0,18,450,78.64,5.5
25321,2100.0,1.5,250.0,12,350,1306.64,5.5
25351,4844.262295081967,3.1,450.0,19,350,595.45,5.5
25391,4913.333333333333,3.1,450.0,18,350,661.0,5.5
25421,3728.3333333333335,2.3,450.0,15,450,-434.81,5.5
25451,4126.333333333333,2.3788,200.0,15,450,939.66,5.5
25461,4126.333333333333,2.3788,166.7,15,450,939.66,5.5
25551,3779.982418686425,2.1875,235.0,23,350,1210.74,5.5
25581,3780.0174194351125,1.8125,235.0,21,350,1448.31,5.5
25611,2700.0,2.24,280.0,21,350,1373.13,5.5
25641,3780.0382717292778,1.988888888888889,235.0,22,350,1351.55,5.5
25671,3959.9851521900523,1.776923076923077,235.0,21,350,1638.82,5.5
25711,3959.989522624582,1.6933333333333334,260.0,21,350,1721.33,5.5
25891,2914.75,1.9209,205.0,16,450,1522.96,5.5
25961,4942.797202797203,2.275,280.0,20,450,805.19,5.5
25971,4942.797202797203,2.275,200.0,20,450,805.19,5.5
26001,4295.598349381018,3.0,278.0,13,450,558.08,5.5
26041,2474.8888888888887,2.543229166666667,190.0,20,450,864.86,5.5
26111,2790.0,2.5,350.0,20,450,228.94,5.5
26121,2790.0,2.5,250.0,20,450,228.94,5.5
26131,2790.0,2.5,120.0,20,450,228.94,5.5
26151,3827.5653923541245,3.642635294117648,350.0,17,450,-216.25,5.5
26161,3827.5653923541245,3.642635294117648,250.0,17,450,-216.25,5.5
26191,5967.142857142857,2.040909090909091,255.0,18,450,1609.77,5.5
26721,1100.0,2.5,300.0,15,450,429.34,5.5
26761,628.0,2.5,300.0,15,450,406.39,5.5
27071,2400.0,2.8,210.0,27,350,567.91,5.5
27111,2340.0,3.5,210.0,27,350,56.43,5.5
27231,4380.588235294118,1.708695652173913,250.0,22,450,1716.36,5.5
27271,4382.972582972583,2.5,248.0,20,450,242.86,5.5
27281,4382.972582972583,2.5,130.0,20,450,242.86,5.5
27291,4382.972582972583,2.5,170.0,20,450,242.86,5.5
27301,4382.972582972583,2.5,140.0,20,450,242.86,5.5
27361,1122.7118644067796,2.9,400.0,16,450,-527.09,5.5
27371,1122.7118644067796,2.9,175.0,16,450,-527.09,5.5
27381,1122.7118644067796,2.9,200.0,16,450,-527.09,5.5
27521,2640.0,2.542222222222222,200.0,24,350,571.3,5.5
27601,3704.0,2.5,400.0,27,450,995.51,5.5
27641,3497.28,2.5,400.0,24,450,932.95,5.5
27691,4473.888888888889,1.4,350.0,10,450,771.61,5.5
27721,3805.873015873016,1.5,350.0,12,450,696.66,5.5
27751,2411.8478260869565,2.45,350.0,10,450,-753.31,5.5
27801,2254.8571428571427,2.69875,200.0,12,350,546.65,5.5
27841,3772.1666666666665,2.89,200.0,19,350,643.77,5.5
27881,2606.8571428571427,2.635,200.0,18,350,767.85,5.5
27921,3882.0,2.7625,200.0,17,350,706.31,5.5
27961,2730.5128205128203,2.38,200.0,17,350,950.91,5.5
28001,2254.8,4.4,200.0,15,350,-2246.65,5.5
28021,2254.7619047619046,2.93,200.0,15,350,-1154.65,5.5
28041,2400.0,3.3,210.0,17,350,83.5,5.5
28081,3717.0,3.1,210.0,29,350,349.32,5.5
28121,3540.0,3.35,210.0,27,350,116.95,5.5
28161,3540.0,3.05,210.0,30,350,401.31,5.5
28201,5880.0,2.8,380.0,15,350,-768.13,5.5
28521,3200.8264462809916,3.6976714285714287,250.0,20,450,-717.18,5.5
28531,3200.8264462809916,3.6976714285714287,70.0,20,450,-717.18,5.5
28541,3200.8264462809916,3.6976714285714287,190.0,20,450,-717.18,5.5
28551,3200.8264462809916,3.6976714285714287,180.0,20,450,-717.18,5.5
28571,4074.9354005167957,3.628457142857143,260.0,20,450,911.44,5.5
28581,4074.9354005167957,3.628457142857143,190.0,20,450,911.44,5.5
28621,2681.75,4.88125,340.0,17,450,-350.22,5.5
28671,2829.6103896103896,5.907407407407407,340.0,21,450,-233.82,5.5
28721,3032.3,4.1125,300.0,15,450,-1866.87,5.5
28731,5715.0,3.922118181818182,450.0,15,450,-131.55,5.5
28761,5823.725490196079,4.611764705882353,340.0,22,450,-148.62,5.5
29111,3327.5,3.7,340.0,23,450,456.16,5.5
29381,3754.186046511628,2.5,200.0,25,350,572.75,5.5
29391,3754.186046511628,2.5,150.0,25,350,572.75,5.5
29491,2580.0,2.5708333333333333,280.0,14,350,1348.88,5.5
29671,2963.9473684210525,3.2,280.0,15,350,354.92,5.5
29701,3840.0,4.2,240.0,15,350,-355.63,5.5
29731,3312.0833333333335,3.5,240.0,15,350,131.19,5.5
29761,3311.978021978022,3.6,240.0,15,350,109.16,5.5
29791,3834.0,4.4,240.0,15,350,-504.55,5.5
29821,3834.0,2.3,240.0,15,350,1055.45,5.5
29851,3140.990990990991,2.7071428571428573,240.0,22,350,848.81,5.5
29881,2915.3571428571427,2.4,240.0,19,350,995.0,5.5
30111,2580.0,3.046875,280.0,17,350,635.2,5.5
30181,3215.714285714286,2.5,320.0,15,450,-665.62,5.5
30201,3057.021276595745,3.2,300.0,15,450,-643.96,5.5
30211,2390.566037735849,2.8,300.0,15,450,-399.78,5.5
30271,2242.5641025641025,2.5,450.0,15,350,863.69,5.5
30311,2979.5833333333335,3.1,450.0,15,350,514.75,5.5
30341,4719.558823529412,3.1,450.0,15,350,580.45,5.5
30381,3630.8571428571427,3.1,160.0,15,450,-337.4,5.5
30391,3630.8571428571427,3.1,450.0,15,450,-337.4,5.5
30411,4014.4,2.1,160.0,15,450,438.65,5.5
30421,4014.4,2.1,450.0,15,450,438.65,5.5
30441,4473.6,2.5,450.0,15,450,848.98,5.5
31381,2776.6666666666665,2.7,360.0,15,350,-610.22,5.5
31391,2776.6666666666665,2.7,200.0,15,350,-610.22,5.5
31401,2940.0,2.66,360.0,15,350,-81.29,5.5
31421,4710.0,2.5,400.0,25,350,237.95,5.5
31431,4710.0,2.5,200.0,25,350,237.95,5.5
31671,3116.176470588235,4.16,250.0,18,350,-648.15,5.5
31691,3510.0,2.5,250.0,21,350,912.52,5.5
31711,1540.8064516129032,2.91,250.0,22,350,529.23,5.5
31731,3194.8837209302324,3.3466666666666667,250.0,18,350,202.99,5.5
