,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Season,Hybrid,Planned_Yield_kg_per_ha
0,M6I2035,-220.35,14.0,2.5,3049.333333333333,205.5,48.0,48.0,WINTER,DKB335PRO3,4700.0
1,M6I2036,3847.21,18.0,2.5,3575.055555555556,492.0,216.0,216.0,WINTER,DKB335PRO3,4700.0
2,M6I2037,415.52,13.0,2.5,3116.2,198.0,60.0,60.0,WINTER,DKB335PRO3,4700.0
3,M6I2009,724.51,9.0,2.5,7678.888888888889,202.4,95.2,96.0,WINTER,AG8480PRO3,6300.0
4,M6I2010,502.1,9.0,2.5,7756.363636363636,179.4,95.2,90.0,WINTER,AG8480PRO3,6300.0
5,M6I2011,539.27,10.0,2.5,8235.2,179.4,95.2,102.0,WINTER,AG8480PRO3,6300.0
6,M6I20175,814.34,9.0,2.5,8178.0,207.85000000000002,122.6,138.0,WINTER,AG8480PRO3,6300.0
7,M6I2022,549.46,10.0,2.5,7470.315789473684,179.95000000000002,97.8,102.0,WINTER,AG8480PRO3,6300.0
8,M6I20134,730.99,17.0,2.5,8674.7,177.5,75.0,140.0,WINTER,DKB255PRO3,6100.0
9,M6V2017,-246.74,14.0,3.69,7586.243386243387,170.2,0.0,0.0,SUMMER,AS1777PRO3,6200.0
10,M6V2018,219.02,20.0,3.38,7204.924242424243,179.4,0.0,90.0,SUMMER,AS1777PRO3,6200.0
11,M6I2015,407.45,9.0,2.5,5015.5,135.0,0.0,0.0,WINTER,AG8088PRO2,6500.0
12,M6I2016,314.58,15.0,2.5,11978.28125,99.55,119.6,0.0,WINTER,AG8065PRO3,10300.0
13,M6V2039,860.73,18.0,2.6814285714285715,11941.555555555557,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
14,M6V2040,799.98,17.0,2.6814285714285715,10673.777777777776,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
15,M7I2030,1048.51,15.0,2.5,8771.363636363636,206.0,104.0,120.0,WINTER,AG8780PRO3,5400.0
16,M7I2031,965.63,17.0,2.5,7753.2692307692305,196.8,104.0,120.0,WINTER,AG8780PRO3,5400.0
17,M7I2032,1019.04,20.0,2.5,8737.058823529413,209.8,85.0,90.0,WINTER,AG8780PRO3,5400.0
18,M7I2033,1034.53,19.0,2.5,8637.333333333334,196.8,104.0,120.0,WINTER,AG8780PRO3,5400.0
19,M7I2034,1211.95,16.0,2.5,5898.333333333333,229.0,104.0,108.0,WINTER,AG8088PRO2,6100.0
20,M7I2027,1238.38,23.0,2.5,6616.829268292683,217.0,156.0,90.0,WINTER,AG8480PRO3,6700.0
21,M7I2028,1107.38,19.0,2.5,5581.979166666667,214.7,156.0,108.0,WINTER,AG8480PRO3,6700.0
22,M7I2029,1084.94,19.0,2.5,5845.0,212.4,156.0,90.0,WINTER,AS1666PRO3,3200.0
23,M7V2036,1426.97,25.0,2.3162500000000006,6964.509803921569,211.88,114.4,120.0,SUMMER,AG9025PRO3,8600.0
24,M6V2074,-1118.18,15.0,3.320000000000001,11586.42857142857,23.0,75.9,0.0,SUMMER,AG8780PRO3,6300.0
25,M6V2075,-1069.08,15.0,3.05,6791.805555555556,23.0,75.9,0.0,SUMMER,AG8780PRO3,6300.0
26,M6V2076,-611.26,15.0,2.620000000000001,10860.333333333334,26.0,85.8,0.0,SUMMER,AG8780PRO3,6300.0
27,M6V2077,-562.59,15.0,2.5842857142857145,11823.36,23.5,77.55,0.0,SUMMER,AG8780PRO3,6300.0
28,M6I2017,124.6,14.0,2.5,6613.846153846154,99.55,119.6,0.0,WINTER,AG8088PRO2,6500.0
29,M6V2042,827.28,10.0,2.575555555555556,13583.214285714286,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
30,M6V2085,-37.64,13.0,2.5,7345.714285714285,74.25,0.0,0.0,SUMMER,DKB360PRO3,6000.0
31,M6V2086,58.13,15.0,2.47,8371.777777777777,74.25,0.0,0.0,SUMMER,DKB360PRO3,6000.0
32,M6V2019,456.65,20.0,2.5,5388.190476190476,144.82999999999998,1.56,90.0,SUMMER,DKB230PRO3,4700.0
33,M6V2020,585.01,18.0,2.3,6132.5,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
34,M6V2021,158.27,17.0,2.7,2694.6153846153848,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
35,M6V2022,312.2,18.0,2.2,3626.0416666666665,114.0,0.0,90.0,SUMMER,DKB230PRO3,4700.0
36,M6V2023,821.49,21.0,1.9,2272.0689655172414,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
37,M6V2024,550.49,15.0,2.2,4642.5,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
38,M6V2005,647.47,20.0,2.68,9017.383669885863,172.77999999999997,124.88000000000001,139.8,SUMMER,AG8700PRO3,4200.0
39,M6V2006,-370.11,14.0,2.68,7787.478108581436,71.36,123.84,139.8,SUMMER,AG8700PRO3,4200.0
40,M6I2049,-653.39,15.0,2.5,6687.857142857143,16.5,78.0,0.0,WINTER,AG8780PRO3,4800.0
41,M6V2073,575.44,16.0,3.03695652173913,8377.307692307691,198.0,105.0,176.0,SUMMER,AG7088RR2,8000.0
42,M6I20151,920.28,13.0,2.5,4854.146341463415,209.3,119.6,132.0,WINTER,3320RR2,4400.0
43,M6I2069,922.04,13.0,2.5,4907.093023255814,209.3,119.6,132.0,WINTER,3320RR2,4400.0
44,M6V2034,917.31,14.0,2.4,9935.121951219511,184.0,0.0,0.0,SUMMER,AS1757PRO3,6300.0
45,M6V2035,152.32,15.0,2.5,6537.954545454545,117.3,119.6,0.0,SUMMER,AS1757PRO3,6300.0
46,M6I2052,-841.28,15.0,2.5,3373.333333333333,0.0,0.0,90.0,WINTER,AS1633PRO3,4100.0
47,M6I20167,791.93,10.0,2.5,4364.0,220.0,108.0,150.0,WINTER,AS1844PRO3,5300.0
48,M6I20168,1052.09,16.0,2.5,7129.333333333333,220.0,108.0,270.0,WINTER,AS1844PRO3,5300.0
49,M2V2027,3214.68,16.0,2.5,3149.894736842105,386.45810000000006,337.3292,162.0,SUMMER,DKB363PRO3,2800.0
50,M6I2093,280.04,18.0,2.5,7101.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
51,M6I2094,286.06,19.0,2.5,6639.666666666667,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
52,M6I2095,1077.33,15.0,2.5,6489.5,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
53,M6I2096,1258.23,21.0,2.5,8330.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
54,M6I2097,1109.83,16.0,2.5,6873.333333333333,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
55,M6I2098,1058.22,13.0,2.5,7185.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
56,M6V2052,-82.91,9.0,2.86,5548.832116788321,219.7,0.0,0.0,SUMMER,AG7098PRO2,3100.0
57,M6I2038,-559.76,15.0,2.5,8398.99096068951,17.93,84.76,69.6,WINTER,DKB255PRO3,6600.0
58,M6I2041,-469.93,15.0,2.5,8854.282990603295,25.52,120.64,117.6,WINTER,DKB255PRO3,6600.0
59,M6I2042,-559.94,15.0,2.5,8654.46682839363,13.75,65.0,123.6,WINTER,DKB255PRO3,6600.0
60,M6I2043,-576.1,15.0,2.5,7692.449156209434,15.84,74.88,121.8,WINTER,DKB255PRO3,5900.0
61,M6I2044,167.25,15.0,2.5,9146.819955700876,108.1306,97.9992,105.0,WINTER,DKB255PRO3,6600.0
62,M6I2045,-517.03,15.0,2.5,8609.218436873747,20.5183,96.9956,111.6,WINTER,DKB255PRO3,6600.0
63,M6I2046,-492.96,15.0,2.5,8957.34126984127,23.87,112.84,82.8,WINTER,DKB255PRO3,6600.0
64,M6I2047,94.93,15.0,2.5,9069.224137931034,100.60000000000001,62.4,84.0,WINTER,DKB255PRO3,6500.0
65,M6I2048,147.03,15.0,2.5,9911.151736745886,100.60000000000001,62.4,145.99800000000002,WINTER,DKB255PRO3,6500.0
66,M2I2036,-598.51,15.0,2.5,7140.826446280992,22.0,104.0,0.0,WINTER,AG8480PRO3,6100.0
67,M2I2037,-563.55,15.0,2.5,8248.023952095808,22.0,104.0,0.0,WINTER,AG8480PRO3,6100.0
68,M2V2017,813.39,23.0,2.5,8683.153153153153,165.60000000000002,0.0,0.0,SUMMER,DKB290PRO3,4500.0
69,M6I20130,890.3,16.0,2.5,9297.166666666666,186.3,119.6,120.0,WINTER,AG8780PRO3,4800.0
70,M6I20131,40.85,15.0,2.5,8500.70588235294,94.3,119.6,120.0,WINTER,AG8780PRO3,4800.0
71,M7I2076,866.61,15.0,2.5,4653.882352941177,201.38,82.16,102.0,WINTER,AG9030PRO3,5700.0
72,M7I2077,1129.61,19.0,2.5,6022.033898305085,214.52,79.04,111.0,WINTER,AG9030PRO3,5700.0
73,M7I2078,1070.73,21.0,2.5,7221.714285714285,200.72,79.04,117.0,WINTER,AS1666PRO3,3300.0
74,M7V2067,1106.38,17.0,2.5,8185.222222222223,206.0,104.0,120.0,SUMMER,AG9030PRO3,4800.0
75,M6I20152,950.98,21.0,2.5,2361.45447983398,209.3,119.6,0.0,WINTER,DKB363PRO3,2900.0
76,M6I20153,1043.16,22.0,2.5,4633.441383036196,209.3,119.6,0.0,WINTER,DKB363PRO3,2900.0
77,M6I20154,423.63,13.0,2.5,4860.881277660189,163.3,119.6,0.0,WINTER,DKB363PRO3,2900.0
78,M6I20155,919.91,13.0,2.5,4996.134483998562,209.3,119.6,120.0,WINTER,DKB363PRO3,2900.0
79,M7I2024,870.74,20.0,2.5,5461.153846153846,188.26000000000002,107.12,120.0,WINTER,AS1777PRO3,3700.0
80,M7I2025,976.89,20.0,2.5,6461.785714285715,197.13,105.56,90.0,WINTER,AS1777PRO3,3600.0
81,M7I2026,881.41,18.0,2.5,7190.566037735849,187.93,105.56,120.0,WINTER,AS1777PRO3,3500.0
82,M7V2029,1255.56,25.0,2.5,8833.76,202.49999999999997,109.2,120.0,SUMMER,AG8700PRO3,4200.0
83,M7V2030,914.34,23.0,2.5,7752.909090909091,179.39999999999998,0.0,0.0,SUMMER,AG9025PRO3,8600.0
84,M7V2031,820.02,21.0,2.5,6075.0,179.39999999999998,0.0,0.0,SUMMER,AG9025PRO3,8600.0
85,M7V2032,689.96,15.0,2.5,5848.510638297872,179.39999999999998,0.0,0.0,SUMMER,AG9025PRO3,7800.0
86,M7V2033,-194.42,18.0,2.5,8117.5,59.8,0.0,0.0,SUMMER,AG9025PRO3,8600.0
87,M7V2034,1248.87,26.0,2.5,7974.7692307692305,202.49999999999997,109.2,120.0,SUMMER,DKB265PRO3,6300.0
88,M6I2012,-577.94,15.0,2.5,7512.5,22.0,104.0,72.0,WINTER,DKB255PRO3,6200.0
89,M6I2013,163.09,15.0,2.5,8578.942307692309,114.0,104.0,72.0,WINTER,DKB255PRO3,6200.0
90,M6I2014,496.51,15.0,2.5,7708.988764044944,204.0,104.0,72.0,WINTER,DKB255PRO3,6200.0
91,M7V2023,-493.88,13.0,4.5,8476.666666666666,201.6,83.2,120.0,SUMMER,AS1868PRO3,5800.0
92,M7V2024,1135.37,16.0,2.5,11399.537037037036,200.5,78.0,120.0,SUMMER,AG7088PRO3,7000.0
93,M7V2025,-1146.97,23.0,4.5,6534.5,114.0,104.0,120.0,SUMMER,AG8480PRO3,5900.0
94,M7V2026,-665.73,15.0,4.8,9130.47619047619,200.5,78.0,120.0,SUMMER,AG7088PRO3,8000.0
95,M7V2027,-1427.07,19.0,5.3,8814.416666666666,108.5,78.0,108.0,SUMMER,DKB290PRO3,4400.0
96,M7V2028,-1074.05,28.0,4.6,7668.5,115.1,109.2,120.0,SUMMER,DKB290PRO3,4600.0
97,M7I2012,1102.21,20.0,2.5,8712.75,201.6,83.2,108.0,WINTER,AG8480PRO3,6600.0
98,M7I2013,1018.44,16.0,2.5,8740.93023255814,201.6,83.2,102.0,WINTER,AG8480PRO3,6700.0
99,M7I2014,1009.29,16.0,2.5,6153.333333333333,208.3,104.0,120.0,WINTER,DKB265PRO3,4400.0
100,M7I2015,961.43,13.0,2.5,7102.875,207.28,114.4,108.0,WINTER,DKB265PRO3,4400.0
101,M7I2016,1064.11,15.0,2.5,9339.53846153846,206.35999999999999,114.4,108.0,WINTER,AG8780PRO3,5600.0
102,M7I2017,1038.79,15.0,2.5,9348.25,203.7,104.0,108.0,WINTER,AG8780PRO3,5600.0
103,M7I2018,876.16,12.0,2.5,5494.769230769231,205.89999999999998,114.4,108.0,WINTER,DKB265PRO3,4400.0
104,M7I2035,1058.31,15.0,2.5,8804.222222222223,208.2,114.4,90.0,WINTER,DKB255PRO3,6600.0
105,M7V2006,1056.86,20.0,2.5,2369.875,212.79999999999998,114.4,132.0,SUMMER,AG9025PRO3,8300.0
106,M7V2007,-1373.27,14.0,4.6,6683.4,116.76,104.0,132.0,SUMMER,AS1633PRO3I,5400.0
107,M7V2008,222.16,13.0,3.5487804878048776,6931.454545454545,207.38,104.0,126.0,SUMMER,AS1633PRO3I,5400.0
108,M7V2009,-510.9,16.0,4.5285714285714285,4167.25,209.68,104.0,120.0,SUMMER,AG9025PRO3,8600.0
109,M7V2010,-811.34,16.0,5.0,6390.0,207.38,104.0,126.0,SUMMER,AS1633PRO3I,5400.0
110,M7V2011,-1247.12,17.0,4.6,9002.558139534884,116.3,104.0,120.0,SUMMER,AS1633PRO3I,5400.0
111,M7V2012,-519.56,19.0,4.8,8598.533333333333,208.3,104.0,132.0,SUMMER,DKB360PRO3,6000.0
112,M7V2013,-577.56,14.0,5.5,4279.2307692307695,214.17999999999998,114.4,120.0,SUMMER,AG7098PRO2,3000.0
113,M7V2014,561.83,24.0,3.4,6122.857142857143,210.5,114.4,122.4,SUMMER,AG7098PRO2,3000.0
114,M4V2061,181.96,17.0,2.5,7146.2,108.94239999999999,5.2,90.0,SUMMER,2200RR2,5900.0
115,M6V2050,-1724.9,9.0,4.05,5607.727272727273,97.83,36.56,115.0,SUMMER,AG8061PRO2,5200.0
116,M6V2051,-1769.89,12.0,4.2,5769.565217391304,97.83,36.56,115.0,SUMMER,AG8061PRO2,5200.0
117,M6V2043,1628.68,13.0,0.15,5491.818181818182,224.5,87.5,132.5,SUMMER,AS1666PRO3,6000.0
118,M6V2044,394.27,11.0,1.6800000000000002,4162.266666666666,224.5,87.5,132.5,SUMMER,AS1666PRO3,6000.0
119,M2I2029,592.87,8.0,2.5,8261.25,174.8,0.0,120.0,WINTER,AS1820PRO3,6200.0
120,M2I2030,678.78,13.0,2.5,7737.6,174.8,0.0,120.0,WINTER,AS1820PRO3,6200.0
121,M2I2031,662.85,11.0,2.5,8530.0,174.8,0.0,120.0,WINTER,AS1820PRO3,6200.0
122,M4V2043,-325.26,23.0,2.5,9476.136363636362,52.65,2.6,50.0,SUMMER,DKB240PRO3,7900.0
123,M4V2044,198.65,20.0,2.16,8895.888888888889,152.25,141.2,95.0,SUMMER,DKB240PRO3,7900.0
124,M7V2047,-917.13,10.0,4.5,3853.25,184.0,0.0,0.0,SUMMER,AG9030PRO3,4800.0
125,M6V2045,-900.04,11.0,3.61,4908.617021276596,227.0,87.5,135.0,SUMMER,AS1666PRO3,6000.0
126,M2I2021,786.73,12.0,2.5,8271.533333333333,192.2,104.0,0.0,WINTER,AG8480PRO3,6500.0
127,M2I2023,793.47,12.0,2.5,8546.5625,192.2,104.0,0.0,WINTER,AG8480PRO3,6500.0
128,M2I2033,706.08,11.0,2.5,7845.057471264367,187.6,104.0,0.0,WINTER,AG8480PRO3,6500.0
129,M2V2014,657.14,14.0,2.5,9572.19512195122,165.60000000000002,0.0,0.0,SUMMER,AG8780PRO,4500.0
130,M6V2068,194.58,15.0,2.47,8051.103448275862,170.2,0.0,0.0,SUMMER,AS1844PRO3,7000.0
131,M4V2011,985.51,15.0,2.5,11175.0,189.06,0.0,81.0,SUMMER,AG8480PRO3,7700.0
132,M7V2059,363.12,14.0,2.8,1808.9655172413795,184.0,0.0,0.0,SUMMER,DKB363PRO3,3400.0
133,M7V2060,-162.48,10.0,3.4,1880.3703703703704,184.0,0.0,0.0,SUMMER,DKB363PRO3,3400.0
134,M7V2061,1640.06,12.0,0.95,3533.032258064516,184.0,0.0,0.0,SUMMER,DKB363PRO3,3400.0
135,M7V2037,295.28,24.0,3.5,9614.21568627451,184.0,0.0,0.0,SUMMER,DKB265PRO3,6300.0
136,M7V2038,218.81,24.0,3.65,10724.651162790698,184.0,0.0,0.0,SUMMER,DKB265PRO3,6300.0
137,M4V2007,996.19,15.0,2.726315789473684,7468.25,216.2,0.0,132.0,SUMMER,DKB230PRO3,5600.0
138,M4V2008,-476.89,15.0,4.366666666666666,8269.0,188.6,0.0,130.8,SUMMER,DKB230PRO3,5900.0
139,M4V2009,-152.04,14.0,4.057142857142857,7913.676470588235,202.4,0.0,105.0,SUMMER,DKB230PRO3,5600.0
140,M4V2010,-204.65,11.0,4.1875,7487.333333333333,212.98,0.0,130.8,SUMMER,DKB230PRO3,5900.0
141,M6V2078,-181.11,21.0,2.9,8008.279569892473,92.0,0.0,0.0,SUMMER,AG8061,4600.0
142,M4V2045,-8.44,18.0,4.1,9278.87323943662,209.5,98.8,78.0,SUMMER,AG8070PRO3,5600.0
143,M4V2046,304.35,17.0,3.6,8073.271889400922,209.5,98.8,78.0,SUMMER,AG8070PRO3,5600.0
144,M4V2047,795.7,10.0,2.5,8596.428571428572,188.6,0.0,78.0,SUMMER,AG8070PRO3,5600.0
145,M4V2048,122.23,12.0,3.4,7139.943342776204,188.6,0.0,78.0,SUMMER,AG8070PRO3,5600.0
146,M4V2049,247.1,10.0,3.2,7688.983050847458,188.6,0.0,78.0,SUMMER,AG8070PRO3,5600.0
147,M4V2050,-380.29,9.0,4.0,6271.578947368421,188.6,0.0,156.0,SUMMER,AG8070PRO3,5600.0
148,M4V2051,763.64,8.0,2.5,7861.712439418417,188.6,0.0,156.0,SUMMER,AG8070PRO3,5600.0
149,M4V2052,742.03,10.0,2.5,6892.428198433421,188.6,0.0,78.0,SUMMER,AG8070PRO3,5600.0
150,M2V2016,-271.76,17.0,2.5,4977.743902439024,62.1,0.0,60.0,SUMMER,DKB363PRO3,2800.0
151,M2I2034,-704.27,21.0,2.5,4886.357142857143,0.44,2.08,0.0,WINTER,AS1844PRO3,6400.0
152,M6V2011,-358.9,24.0,3.911538461538461,8106.282051282052,157.88,119.68,120.0,SUMMER,AS1777PRO3,6200.0
153,M6V2012,973.03,25.0,3.124137931034483,6564.48717948718,236.29999999999998,120.72000000000001,120.0,SUMMER,AS1777PRO3,6000.0
154,M6V2013,-551.39,24.0,3.832,6561.538461538462,134.88,119.68,120.0,SUMMER,AS1777PRO3,6000.0
155,M6V2066,748.4,24.0,2.007894736842105,7302.051282051282,125.68,119.68,120.0,SUMMER,AS1777PRO3,6200.0
156,M2I2008,1060.97,19.0,2.5,8715.555555555555,210.0,119.6,120.0,WINTER,DKB255PRO3,6300.0
157,M2I2009,490.6,19.0,2.5,8331.743119266055,145.6,119.6,240.0,WINTER,DKB255PRO3,6300.0
158,M2I2010,-85.83,18.0,2.5,8048.495575221239,85.8,119.6,120.0,WINTER,DKB255PRO3,6300.0
159,M2I2011,-213.99,16.0,2.5,8352.192982456141,59.8,0.0,120.0,WINTER,DKB255PRO3,6300.0
160,M2I2012,-534.9,17.0,2.5,8712.521739130434,26.0,119.6,120.0,WINTER,DKB255PRO3,6300.0
161,M6I20174,-623.14,15.0,2.5,6688.068181818182,33.0,99.0,105.0,WINTER,DKB360PRO3,5200.0
162,M6I2025,-59.9,15.0,2.5,7028.653846153846,206.0,78.0,90.0,WINTER,DKB360PRO3,5200.0
163,M6I2026,-666.04,15.0,2.5,5214.333333333333,35.0,105.0,97.8,WINTER,DKB360PRO3,5300.0
164,M6I2027,-621.57,15.0,2.5,6849.423076923077,33.0,99.0,96.0,WINTER,DKB360PRO3,5200.0
165,M6I2028,-631.81,15.0,2.5,6524.180327868852,33.0,99.0,96.0,WINTER,DKB360PRO3,5200.0
166,M6I2029,-649.24,15.0,2.5,7230.178571428572,33.0,99.0,0.0,WINTER,DKB360PRO3,5200.0
167,M6I2030,-645.24,15.0,2.5,5972.533333333334,33.0,99.0,106.2,WINTER,DKB360PRO3,5300.0
168,M6V2025,649.19,15.0,2.63,4640.0,184.0,0.0,120.0,SUMMER,AS1757PRO3,6300.0
169,M6V2026,674.23,15.0,2.6480952380952383,5855.384615384615,184.0,0.0,120.0,SUMMER,AS1757PRO3,0.0
170,M4V2062,-1225.34,9.0,3.896808510638298,4618.734177215189,92.0,0.0,120.0,SUMMER,DKB230PRO3,5600.0
171,M4V2063,-1563.34,8.0,3.537352933705884,7924.310344827586,0.0,0.0,120.0,SUMMER,DKB230PRO3,5900.0
172,M4V2064,56.49,15.0,2.9929411764705884,7826.333333333333,138.0,0.0,120.0,SUMMER,DKB230PRO3,5600.0
173,M6V2028,1184.99,9.0,2.11,7948.108108108108,202.3,130.0,120.0,SUMMER,DKB177PRO3,6000.0
174,M6V2029,-208.48,15.0,2.11,11160.81081081081,26.4,242.4,0.0,SUMMER,DKB177PRO3,7400.0
175,M6V2030,233.08,15.0,1.98,9598.395061728395,108.5,130.0,120.0,SUMMER,DKB177PRO3,6000.0
176,M6V2031,44.18,15.0,1.98,11270.487804878048,27.5,130.0,120.0,SUMMER,DKB177PRO3,6500.0
177,M6V2046,-558.69,10.0,4.8,11369.0,211.6,0.0,162.0,SUMMER,DKB290PRO3,6700.0
178,M6V2047,-689.42,14.0,4.0,10479.545454545454,128.8,0.0,165.0,SUMMER,DKB290PRO3,6700.0
179,M6V2069,-679.33,12.0,3.3,9809.285714285714,82.8,0.0,0.0,SUMMER,DKB290PRO3,6700.0
180,M6V2091,-624.06,8.0,3.41,5019.090909090909,119.6,0.0,168.0,SUMMER,AG7098PRO2,5600.0
181,M6I20140,238.65,23.0,2.5,3991.285714285714,120.6,135.2,90.0,WINTER,DKB265PRO3,3800.0
182,M6V2079,495.01,15.0,2.91,6495.0,188.6,0.0,0.0,SUMMER,DKB390PRO2,6900.0
183,M2V2011,953.79,21.0,2.5,8188.333333333333,186.3,0.0,0.0,SUMMER,DKB290PRO3,4500.0
184,M2V2012,797.78,20.0,2.7,8609.418604651162,186.3,0.0,0.0,SUMMER,DKB290PRO3,4500.0
185,M7I2045,1069.84,20.0,2.5,9939.23076923077,199.6,115.44,108.0,WINTER,AG8065PRO3,9500.0
