,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
0,6000.0,0.0,6000.0,M2I2001,2.5,4786.9,349.85
1,6600.0,0.0,6600.0,M2I2002,2.5,5234.476190476191,488.41
2,6000.0,0.0,6000.0,M2I2003,2.5,4358.380952380952,462.26
3,0.0,0.0,0.0,M2I2005,2.5,3400.4,409.14
4,0.0,0.0,0.0,M2I2006,2.5,3033.0,261.38
5,0.0,0.0,0.0,M2I2007,2.5,3077.6296296296296,359.71
6,2600.0,11960.0,0.0,M2I2008,2.5,4960.0,1060.97
7,2600.0,11960.0,0.0,M2I2009,2.5,4477.614678899083,490.6
8,2600.0,11960.0,0.0,M2I2010,2.5,4445.221238938053,-85.83
9,0.0,0.0,0.0,M2I2011,2.5,4844.298245614035,-213.99
10,2600.0,11960.0,0.0,M2I2012,2.5,5228.347826086957,-534.9
11,0.0,0.0,0.0,M2I2013,2.5,4309.304347826087,-553.55
12,0.0,0.0,0.0,M2I2021,2.5,4986.866666666667,786.73
13,0.0,0.0,0.0,M2I2023,2.5,5081.8125,793.47
14,0.0,0.0,0.0,M2I2024,2.5,3511.413043478261,788.37
15,16650.0,0.0,13200.0,M2I2025,2.5,4560.428571428572,950.38
16,16650.0,0.0,13200.0,M2I2026,2.5,3651.875,46.64
17,16650.0,0.0,13200.0,M2I2027,2.5,2936.818181818182,23.35
18,0.0,0.0,0.0,M2I2029,2.5,4770.0,592.87
19,0.0,0.0,0.0,M2I2030,2.5,4025.9,678.78
20,0.0,0.0,0.0,M2I2031,2.5,4810.932203389831,662.85
21,0.0,0.0,0.0,M2I2033,2.5,4409.770114942528,706.08
22,0.0,0.0,0.0,M2I2034,2.5,2415.3571428571427,-704.27
23,0.0,0.0,0.0,M2I2036,2.5,3796.03305785124,-598.51
24,0.0,0.0,0.0,M2I2037,2.5,4414.311377245509,-563.55
25,0.0,0.0,13200.0,M2I2039,2.5,4295.490196078431,459.49
26,8000.0,0.0,8000.0,M2I2041,2.5,2087.1794871794873,186.07
27,5400.0,0.0,5400.0,M2I2042,2.5,2780.1,243.67
28,8000.0,0.0,8000.0,M2I2043,2.5,1934.4086021505377,146.48
29,8000.0,0.0,8000.0,M2I2044,2.5,1948.279569892473,150.72
30,0.0,0.0,0.0,M2I2045,2.5,2868.809523809524,612.67
31,0.0,0.0,0.0,M2I2047,2.5,2860.3030303030305,755.18
32,0.0,0.0,0.0,M2I2051,2.5,4145.098039215686,780.85
33,0.0,0.0,0.0,M2I2102,3.362285714285714,5998.719512195122,328.06
34,0.0,0.0,0.0,M2I2103,3.445714285714285,4642.64367816092,856.51
35,0.0,0.0,0.0,M2I2104,3.524375,4947.4,254.73
36,0.0,0.0,0.0,M2I2105,3.546875,4652.571428571428,55.05
37,0.0,0.0,0.0,M2I2106,2.5,4574.7,921.34
38,0.0,0.0,0.0,M2I2118,3.525,3986.8263473053894,-560.47
39,0.0,0.0,0.0,M2I2120,2.3200000000000003,4243.181818181818,-549.69
40,0.0,0.0,0.0,M2I2121,3.595,3936.804733727811,-1596.85
41,0.0,0.0,0.0,M2I2122,3.3649999999999998,3549.2561983471073,10.59
42,0.0,0.0,0.0,M2I2124,3.01,1576.7142857142858,-874.1
43,0.0,0.0,0.0,M2I2131,2.275294117647059,3960.4,-395.02
44,4000.0,0.0,3000.0,M2I2132,2.132941176470588,2870.9166666666665,-503.51
45,0.0,0.0,0.0,M2I2133,3.245,4823.289473684211,-1218.33
46,0.0,0.0,0.0,M2I2141,2.4072639999999996,4485.6,-608.16
47,1850.0,12950.0,1850.0,M2I2145,2.5,2108.2608695652175,1081.32
48,4160.0,0.0,4160.0,M2I2150,2.33,4778.367346938776,581.15
49,4160.0,0.0,4160.0,M2I2151,2.1,4260.0,22.05
50,0.0,0.0,0.0,M2V2011,2.5,3614.3333333333335,953.79
51,0.0,0.0,0.0,M2V2012,2.7,3464.4186046511627,797.78
52,0.0,0.0,0.0,M2V2013,2.5,3961.309523809524,786.2
53,0.0,0.0,0.0,M2V2014,2.5,3812.621951219512,657.14
54,0.0,0.0,0.0,M2V2015,2.8,1850.4736842105262,-590.36
55,0.0,0.0,0.0,M2V2016,2.5,2536.6463414634145,-271.76
56,0.0,0.0,0.0,M2V2017,2.5,3461.0810810810813,813.39
57,0.0,0.0,0.0,M2V2018,2.6,3779.8709677419356,950.49
58,0.0,0.0,0.0,M2V2019,2.9,1753.6134453781513,76.92
59,4224.0,0.0,1760.0,M2V2020,2.7,2494.7619047619046,261.41
60,0.0,0.0,0.0,M2V2023,2.5,3380.5555555555557,712.36
61,0.0,0.0,0.0,M2V2024,3.485483870967741,2965.3333333333335,-15.82
62,0.0,0.0,0.0,M2V2025,2.4,991.4634146341464,724.29
63,0.0,0.0,0.0,M2V2026,1.9755555555555557,2234.84375,1275.25
64,0.0,0.0,0.0,M2V2027,2.5,1664.421052631579,3214.68
65,0.0,0.0,0.0,M2V2028,2.5,3197.9710144927535,296.23
66,0.0,0.0,0.0,M2V2029,4,2576.5942028985505,-147.6
67,2100.0,0.0,2100.0,M2V2030,2.5,4753.053892215569,-62.67
68,10400.0,11500.0,10400.0,M2V2101,2.5,4699.857142857143,575.77
69,10400.0,11500.0,4000.0,M2V2102,2.45,5028.315789473684,519.62
70,10400.0,11500.0,10400.0,M2V2103,2.9,5892.413793103448,258.82
71,10400.0,11500.0,10400.0,M2V2104,2.855,4361.6,95.45
72,10400.0,11500.0,10400.0,M2V2105,2.21,4832.9807692307695,682.7
73,0.0,0.0,0.0,M2V2106,3.8333333333333335,816.7682926829268,-1058.29
74,10000.0,0.0,7500.0,M2V2107,3.0479629629629637,991.2258064516129,78.64
75,0.0,0.0,0.0,M2V2108,2.83,471.0975609756098,435.27
76,0.0,0.0,0.0,M2V2109,2.9,358.9024390243902,-487.94
77,0.0,0.0,0.0,M2V2110,2.9909230769230772,1865.2631578947369,464.19
78,0.0,0.0,0.0,M2V2111,2.9569565217391305,2578.777777777778,632.52
79,0.0,0.0,0.0,M2V2118,2.845090909090909,3009.1017964071857,-711.77
80,0.0,0.0,0.0,M2V2119,2.45,580.1666666666666,-691.47
81,0.0,0.0,0.0,M2V2126,2.5,3244.3333333333335,1159.53
82,0.0,0.0,0.0,M2V2127,2.5,3085.176470588235,1165.53
83,0.0,0.0,0.0,M2V2128,3.5,4290.0,32.85
84,0.0,0.0,0.0,M2V2129,3.6,3139.813664596273,-1145.98
85,0.0,0.0,0.0,M4V2001,2.2,5705.454545454545,1113.0
86,0.0,0.0,0.0,M4V2002,3.5,5053.1506849315065,-760.82
87,0.0,0.0,0.0,M4V2003,2.2,2742.0833333333335,820.0
88,8250.0,0.0,3000.0,M4V2004,4.546842105263158,4076.4,-1323.71
89,0.0,0.0,0.0,M4V2007,2.7263157894736842,4159.75,996.19
90,0.0,0.0,0.0,M4V2008,4.366666666666666,4323.0,-476.89
91,0.0,0.0,0.0,M4V2009,4.057142857142857,4161.029411764706,-152.04
92,0.0,0.0,0.0,M4V2010,4.1875,4053.6666666666665,-204.65
93,0.0,0.0,0.0,M4V2011,2.5,6087.083333333333,985.51
94,18130.5,0.0,0.0,M4V2013,2.5,3914.354066985646,-75.24
95,19323.0,0.0,0.0,M4V2014,2.5,5539.351851851851,76.09
96,17694.0,0.0,0.0,M4V2015,2.5,3080.96,-3.68
97,18468.0,0.0,0.0,M4V2016,2.5,4692.566371681416,-16.24
98,18999.0,0.0,0.0,M4V2017,2.5,4433.218334154756,-42.83
99,18351.0,0.0,0.0,M4V2018,2.5,4414.5077720207255,-73.84
100,0.0,0.0,0.0,M4V2028,2.476,4068.5714285714284,728.41
101,0.0,0.0,0.0,M4V2029,2.2181818181818183,3456.6153846153848,854.53
102,0.0,0.0,0.0,M4V2030,1.9928571428571427,3921.0810810810813,972.93
103,0.0,0.0,0.0,M4V2031,2.166666666666667,3768.75,936.96
104,0.0,0.0,0.0,M4V2032,2.5,3895.20325203252,592.24
105,0.0,0.0,0.0,M4V2033,2.5,5710.30303030303,646.13
106,0.0,0.0,0.0,M4V2034,2.1914285714285713,3231.6,1559.94
107,0.0,0.0,0.0,M4V2035,2.9571428571428573,6295.7692307692305,1028.86
108,0.0,0.0,0.0,M4V2036,2.2222222222222223,5484.024390243902,1611.25
109,0.0,0.0,0.0,M4V2037,2.5589705882352938,4934.418604651163,635.16
110,0.0,0.0,0.0,M4V2038,3.883030303030303,6067.810218978102,-506.96
111,8250.0,0.0,3750.0,M4V2042,4.336,4763.5,-750.58
112,5000.0,0.0,5000.0,M4V2043,2.5,5194.744318181818,-325.26
113,14960.0,13860.0,9500.0,M4V2044,2.16,4845.555555555556,198.65
114,0.0,0.0,0.0,M4V2045,4.1,4243.192488262911,-8.44
115,0.0,0.0,0.0,M4V2046,3.6,3820.276497695853,304.35
116,0.0,0.0,0.0,M4V2047,2.5,4241.517857142858,795.7
117,0.0,0.0,0.0,M4V2048,3.4,2788.101983002833,122.23
118,0.0,0.0,0.0,M4V2049,3.2,3455.367231638418,247.1
119,0.0,0.0,0.0,M4V2050,4,3214.2105263157896,-380.29
120,0.0,0.0,0.0,M4V2051,2.5,4127.46365105008,763.64
121,0.0,0.0,0.0,M4V2052,2.5,3290.3394255874678,742.03
122,6156.0,0.0,2052.0,M4V2053,2.683333333333333,4500.0,134.81
123,0.0,0.0,0.0,M4V2054,2.5,3166.904761904762,474.06
124,0.0,0.0,0.0,M4V2055,2.5,3148.846153846154,734.38
125,0.0,0.0,0.0,M4V2056,3.9441666666666655,4278.534031413612,-342.56
126,0.0,0.0,0.0,M4V2057,2.3,3917.375190756486,1420.09
127,0.0,0.0,0.0,M4V2058,2.0465306122448976,5355.567010309278,1747.49
128,19800.0,9000.0,3000.0,M4V2059,2.4435294117647057,3984.0707964601766,-107.58
129,19800.0,9000.0,3000.0,M4V2060,2.4866666666666672,4217.515923566879,-85.23
130,0.0,0.0,0.0,M4V2061,2.5,4305.6,181.96
131,0.0,0.0,0.0,M4V2062,3.896808510638298,2461.772151898734,-1225.34
132,0.0,0.0,0.0,M4V2063,3.5373529337058836,4103.9655172413795,-1563.34
133,0.0,0.0,0.0,M4V2064,2.9929411764705884,4607.333333333333,56.49
134,0.0,0.0,0.0,M4V2065,1.98,4323.611111111111,1363.35
135,0.0,0.0,0.0,M4V2067,1.35,3716.3120567375886,1940.39
136,0.0,0.0,0.0,M4V2068,3.1782142857142865,4952.321428571428,-92.35
137,9240.0,12450.0,13150.0,M4V2069,2.5,6272.391304347826,-266.22
138,19740.0,12450.0,16900.0,M4V2070,2.5,6545.3448275862065,297.04
139,18171.0,0.0,0.0,M4V2071,2.5,3106.7619047619046,-71.95
140,17370.0,0.0,0.0,M4V2072,2.5,2893.3333333333335,-171.78
141,3250.0,8250.0,0.0,M4V2101,1.708695652173913,4380.588235294118,1716.36
142,23024.0,8184.0,0.0,M4V2102,2.5,4382.972582972583,242.86
143,7668.2,0.0,12000.0,M4V2103,2.3788,4126.333333333333,939.66
144,0.0,0.0,0.0,M4V2104,2.055,4735.25,1683.85
145,0.0,0.0,0.0,M4V2105,2.371428571428572,2272.2141823444285,1334.24
146,0.0,0.0,0.0,M4V2106,2.129169230769231,4124.553224553225,1544.63
147,0.0,0.0,0.0,M4V2107,2.3166666666666673,5028.8,1155.81
148,12640.0,9240.0,0.0,M4V2108,2.275,4942.797202797203,805.19
149,3614.0,9174.0,0.0,M4V2109,3,4295.598349381018,558.08
150,2100.0,10500.0,3500.0,M4V2110,1.4,4473.888888888889,771.61
151,2100.0,10500.0,3500.0,M4V2111,1.5,3805.873015873016,696.66
152,2100.0,10500.0,3500.0,M4V2112,2.45,2411.8478260869565,-753.31
153,3315.0,8415.0,0.0,M4V2113,2.040909090909091,5967.142857142857,1609.77
154,17200.0,9800.0,7200.0,M4V2114,2.5,2790.0,228.94
155,11800.0,9800.0,9600.0,M4V2115,3.6426352941176474,3827.5653923541245,-216.25
156,1800.0,9000.0,3000.0,M4V2116,3.436,4907.7192982456145,742.69
157,1596.0,7980.0,2660.0,M4V2117,2.5,5038.326506729081,1488.34
158,1688.16,7596.72,2813.6000000000004,M4V2118,2.602702702702703,4973.421926910299,1491.18
159,21175.0,9840.0,9900.0,M4V2119,2.8991624999999996,5075.684210526316,-172.76
160,20185.0,9840.0,7800.0,M4V2120,3.4415333333333336,5157.798165137615,-545.77
161,20950.0,9840.0,8520.0,M4V2121,2.0653,4042.8,403.06
162,21130.0,9840.0,9600.0,M4V2122,2.15,3245.4761904761904,372.01
163,14490.0,0.0,0.0,M4V2123,1.85,308.3333333333333,808.53
164,0.0,0.0,0.0,M4V2125,2.3,3593.5555555555557,1619.65
165,0.0,0.0,0.0,M4V2126,3.7975680000000005,8122.5,205.23
166,0.0,0.0,0.0,M4V2127,2.95625,3580.0060957025294,420.3
167,22030.0,9840.0,10500.0,M4V2128,3.2058823529411766,1650.967741935484,-403.45
168,0.0,0.0,0.0,M4V2129,3.0451679999999994,3754.7252747252746,-1042.23
169,1080.0,4860.0,1800.0,M4V2130,2.8476190476190473,5896.692913385827,963.51
170,2000.0,9000.0,0.0,M4V2132,3.5780769036366387,2957.16814159292,13.1
171,2000.0,9000.0,0.0,M4V2133,3.061363636363637,1538.9705882352941,-557.02
172,2000.0,9000.0,0.0,M4V2134,3.1815789436039172,1950.5813953488373,313.0
173,0.0,0.0,0.0,M4V2135,3.3579999999999997,1892.888888888889,-614.3
174,0.0,0.0,0.0,M4V2136,2.575,4361.940298507462,1.82
175,0.0,0.0,0.0,M4V2137,3.1,2836.5,-167.92
176,0.0,0.0,0.0,M4V2138,3.2329999999999997,4644.077669902913,40.92
177,0.0,0.0,0.0,M4V2139,2.823,2846.866485013624,-44.34
178,0.0,0.0,0.0,M4V2140,2.903,3926.761744966443,184.33
179,0.0,0.0,0.0,M4V2141,3.525,3994.6428571428573,-155.47
180,2400.0,7600.0,1200.0,M4V2142,5.282149600000002,3581.4285714285716,-1183.56
181,0.0,0.0,0.0,M4V2143,5.14,997.1428571428571,-1784.04
182,22300.0,12000.0,0.0,M4V2144,3.6976714285714287,3200.8264462809916,-717.18
183,8550.0,0.0,0.0,M4V2145,2.543229166666667,2474.8888888888887,864.86
184,0.0,0.0,12240.0,M4V2146,3.5431200000000005,3339.549180327869,291.22
185,0.0,0.0,12300.0,M4V2147,1.9209,2914.75,1522.96
186,0.0,0.0,0.0,M4V2148,3.742857142857143,3812.5641025641025,-707.3
187,22600.0,9984.0,11580.0,M4V2149,2.450136363636364,3373.809523809524,266.99
188,11150.0,12480.0,0.0,M4V2150,3.6284571428571426,4074.9354005167957,911.44
189,19350.0,0.0,8400.0,M4V2151,3.068792307692308,5603.1,-269.84
190,17800.0,9600.0,6900.0,M4V2152,2.9,1122.7118644067796,-527.09
191,3920.0,9520.0,0.0,M4V2153,2.3346938775510204,801.6100178890877,150.95
192,3920.0,9520.0,0.0,M4V2154,3.107407407407407,808.9085345120707,-356.27
193,5625.0,0.0,0.0,M4V2155,2.382758620689655,1434.53125,-242.63
194,2177.76,7622.160000000001,3266.6400000000003,M4V2156,2.5964285714285715,4217.444444444444,1296.0
195,1636.3200000000002,7363.4400000000005,1636.3200000000002,M4V2157,2.745945945945946,3014.0,1704.04
196,2086.56,7302.96,3129.84,M4V2158,2.371052631578947,2882.695652173913,931.08
197,1110.0,4995.0,1110.0,M4V2159,3.196551724137931,5395.076923076923,587.82
198,1740.0,7830.0,2900.0,M4V2160,2.0100000000000002,5373.0,1700.85
199,2193.28,7676.4800000000005,3289.92,M4V2161,2.4,3280.156657963447,1650.92
200,21175.0,8680.0,9080.0,M4V2162,2.3,4712.5,406.01
201,21940.0,8680.0,8480.0,M4V2163,2.4,4449.6,346.03
202,21960.0,8820.0,9360.0,M4V2164,1.8,4859.545454545455,779.56
203,23850.0,12600.0,11100.0,M4V2165,1.7,3353.75,710.23
204,22565.0,9455.0,9960.0,M4V2166,2.45,3145.5550437586367,201.1
205,21538.0,9016.0,8876.0,M4V2167,1.6,3773.75,830.19
206,3600.0,12600.0,5400.0,M4V2168,3.922118181818182,5715.0,-131.55
207,7000.0,0.0,0.0,M4V2169,2.809,2734.8125,802.7
208,7000.0,7000.0,0.0,M4V2170,2.7447368421052625,4618.194444444444,897.13
209,21715.0,8680.0,8480.0,M4V2171,2.1,4738.333333333333,499.34
210,0.0,0.0,0.0,M4V2172,2.3,5787.555555555556,1701.88
211,0.0,0.0,0.0,M4V2173,2.23,5503.333333333333,1796.67
212,2000.0,9000.0,0.0,M4V2175,0.38688888888888895,2688.36370919287,2381.35
213,3920.0,9520.0,0.0,M4V2176,2.3,397.8333333333333,134.33
214,10980.0,10120.0,0.0,M6I2001,2.5,4464.583333333333,-400.21
215,20200.0,11000.0,0.0,M6I2002,2.5,4412.5,-80.93
216,1800.0,9000.0,9600.0,M6I2009,2.5,3732.777777777778,724.51
217,1800.0,9000.0,9000.0,M6I2010,2.5,3919.2727272727275,502.1
218,0.0,0.0,0.0,M6I20100,2.5,4239.64705882353,1178.45
219,0.0,0.0,0.0,M6I20101,2.5,4672.278481012659,1145.55
220,0.0,0.0,0.0,M6I20102,2.5,3488.4615384615386,1035.35
221,5400.0,0.0,0.0,M6I20103,2.5,2226.875,-469.06
222,5400.0,0.0,0.0,M6I20104,2.5,2600.689655172414,-714.94
223,5400.0,0.0,0.0,M6I20105,2.5,2695.5,-679.61
224,5400.0,0.0,0.0,M6I20106,2.5,2625.1612903225805,-619.52
225,1500.0,11100.0,0.0,M6I20108,2.5,2494.864864864865,876.85
226,1500.0,11100.0,0.0,M6I20109,2.5,4044.266666666667,864.07
227,1800.0,9000.0,10200.0,M6I2011,2.5,4142.4,539.27
228,0.0,0.0,0.0,M6I20111,2.5,3025.6923076923076,735.25
229,0.0,0.0,0.0,M6I20113,2.5,2215.5882352941176,703.84
230,12480.0,0.0,2400.0,M6I20114,2.5,2285.0,1256.85
231,1500.0,9000.0,3000.0,M6I20115,2.5,3834.494382022472,750.63
232,1500.0,9000.0,3000.0,M6I20116,2.5,4153.220338983051,854.15
233,1330.0,7980.0,2660.0,M6I20117,2.5,3612.962962962963,814.24
234,9000.0,0.0,0.0,M6I20118,2.5,3366.4615384615386,-289.27
235,1500.0,11100.0,0.0,M6I20119,2.5,2739.5238095238096,932.34
236,0.0,0.0,7200.0,M6I2012,2.5,3829.1346153846152,-577.94
237,0.0,0.0,0.0,M6I20121,2.5,4017.948717948718,1028.14
238,2240.0,11200.0,0.0,M6I20122,2.5,3190.2380952380954,855.43
239,2320.0,12760.0,0.0,M6I20123,2.5,2971.3333333333335,876.99
240,0.0,0.0,0.0,M6I20124,2.5,3943.0,1063.18
241,4640.0,25520.0,0.0,M6I20125,2.5,4087.2,338.27
242,2240.0,11200.0,0.0,M6I20126,2.5,3451.809523809524,1088.88
243,0.0,0.0,0.0,M6I20127,2.5,4267.809523809524,1131.04
244,0.0,0.0,0.0,M6I20129,2.5,1909.1156462585034,-708.67
245,0.0,0.0,7200.0,M6I2013,2.5,4292.692307692308,163.09
246,0.0,0.0,0.0,M6I20130,2.5,4189.333333333333,890.3
247,0.0,0.0,0.0,M6I20131,2.5,3646.823529411765,40.85
248,1000.0,7500.0,5000.0,M6I20134,2.5,4164.7,730.99
249,1620.0,11988.0,0.0,M6I20135,2.5,4362.705882352941,905.4
250,0.0,0.0,0.0,M6I20136,2.5,2605.815831987076,1109.08
251,0.0,0.0,0.0,M6I20137,2.5,2240.8829174664106,1098.14
252,0.0,0.0,0.0,M6I20138,2.5,4087.0,1194.88
253,0.0,0.0,0.0,M6I20139,2.5,3788.6746987951806,1192.08
254,9000.0,0.0,7200.0,M6I2014,2.5,4125.393258426966,496.51
255,0.0,0.0,9000.0,M6I20140,2.5,1828.0,238.65
256,0.0,0.0,0.0,M6I20141,2.5,3216.0,-751.2
257,5600.0,5600.0,5600.0,M6I20142,2.5,3447.222222222222,-153.03
258,5600.0,5600.0,5600.0,M6I20143,2.5,3261.6666666666665,-170.33
259,5600.0,5600.0,5600.0,M6I20144,2.5,4075.6,-125.84
260,5600.0,5600.0,5600.0,M6I20145,2.5,3445.6,167.6
261,14000.0,12000.0,3200.0,M6I20147,2.5,6275.5,-33.22
262,4000.0,12000.0,6000.0,M6I20149,2.5,4389.6,948.73
263,0.0,0.0,0.0,M6I2015,2.5,2475.25,407.45
264,4000.0,12000.0,6000.0,M6I20150,2.5,3754.2,980.97
265,0.0,0.0,0.0,M6I20151,2.5,2078.5365853658536,920.28
266,0.0,0.0,0.0,M6I20152,2.5,1123.612740232789,950.98
267,0.0,0.0,0.0,M6I20153,2.5,2386.2776877363585,1043.16
268,0.0,0.0,0.0,M6I20154,2.5,2535.405041370021,423.63
269,0.0,0.0,0.0,M6I20155,2.5,2679.4318590435096,919.91
270,0.0,0.0,0.0,M6I20156,2.5,2127.1111111111113,-631.74
271,0.0,0.0,0.0,M6I20157,2.5,3449.375,1204.59
272,0.0,0.0,0.0,M6I20158,2.5,5464.174757281553,371.18
273,0.0,0.0,0.0,M6I20159,2.5,3742.181818181818,1207.57
274,0.0,0.0,0.0,M6I2016,2.5,6446.71875,314.58
275,0.0,0.0,0.0,M6I20160,2.5,3555.25,1281.43
276,0.0,0.0,0.0,M6I20161,2.5,3819.875,1334.76
277,500.0,5000.0,5000.0,M6I20163,2.5,4065.5,1163.01
278,10486.0,8664.0,7707.0,M6I20164,2.5,3099.6875,-490.81
279,1800.0,10800.0,5400.0,M6I20165,2.5,2390.153846153846,811.5
280,1800.0,10800.0,5400.0,M6I20166,2.5,2664.4210526315787,783.94
281,3600.0,10800.0,5400.0,M6I20167,2.5,1846.0,791.93
282,3600.0,10800.0,5400.0,M6I20168,2.5,3111.2,1052.09
283,0.0,0.0,0.0,M6I2017,2.5,3305.769230769231,124.6
284,10880.0,11040.0,8520.0,M6I20170,2.5,2028.5,-493.5
285,3300.0,9900.0,0.0,M6I20174,2.5,3452.3863636363635,-623.14
286,2400.0,12000.0,0.0,M6I20175,2.5,4123.2,814.34
287,6100.0,12000.0,7000.0,M6I20177,2.5,6247.75,472.93
288,2400.0,12000.0,0.0,M6I20178,2.5,7152.0,876.91
289,6100.0,12000.0,7000.0,M6I20179,2.5,5480.666666666667,456.07
290,1550.0,11470.0,0.0,M6I2018,2.5,3871.28,61.97
291,2400.0,12000.0,0.0,M6I20180,2.5,1951.8666666666666,557.01
292,1550.0,11470.0,0.0,M6I2019,2.5,3964.72,59.15
293,0.0,0.0,0.0,M6I2020,2.5,4584.25,1167.52
294,1625.0,12025.0,0.0,M6I2021,2.5,4822.833333333333,796.11
295,1800.0,9000.0,0.0,M6I2022,2.5,3857.684210526316,549.46
296,20600.0,7800.0,9000.0,M6I2025,2.5,3364.6153846153848,-59.9
297,3500.0,10500.0,0.0,M6I2026,2.5,2826.6666666666665,-666.04
298,3300.0,9900.0,0.0,M6I2027,2.5,3543.846153846154,-621.57
299,3300.0,9900.0,0.0,M6I2028,2.5,3157.7049180327867,-631.81
300,3300.0,9900.0,0.0,M6I2029,2.5,3660.714285714286,-649.24
301,3300.0,9900.0,0.0,M6I2030,2.5,3166.0,-645.24
302,0.0,0.0,0.0,M6I2031,2.5,2147.75,13.72
303,0.0,0.0,0.0,M6I2032,2.5,2748.6666666666665,-1.02
