,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Macrozone,N_Total_kg_per_Ha,P_Total_kg_per_Ha,K_Total_kg_per_Ha,Yield_to_CO2_Ratio
0,M6I2035,-220.35,14.0,2.5,3003.333333333333,17,205.5,48.0,48.0,-13.629831328946372
1,M6V2017,-246.74,14.0,3.69,4096.560846560847,22,170.2,0.0,0.0,-16.602743157010806
2,M6V2074,-1118.18,15.0,3.320000000000001,5116.571428571428,21,23.0,75.9,0.0,-4.575803026857418
3,M6V2075,-1069.08,15.0,3.05,3283.1944444444443,21,23.0,75.9,0.0,-3.071046548849894
4,M6V2076,-611.26,15.0,2.620000000000001,5462.833333333333,21,26.0,85.8,0.0,-8.937004438918517
5,M6V2077,-562.59,15.0,2.5842857142857145,5368.96,21,23.5,77.55,0.0,-9.54329085124158
6,M6V2085,-37.64,13.0,2.5,3375.3571428571427,17,74.25,0.0,0.0,-89.67473812054045
7,M6V2006,-370.11,14.0,2.68,3909.281961471104,21,71.36,123.84,139.8,-10.562486724139049
8,M6I2049,-653.39,15.0,2.5,2754.081632653061,21,16.5,78.0,0.0,-4.2150654779734325
9,M6I2052,-841.28,15.0,2.5,3263.0,21,0.0,0.0,90.0,-3.878613541270445
10,M6V2052,-82.91,9.0,2.86,2778.832116788321,22,219.7,0.0,0.0,-33.51624794100013
11,M6I2038,-559.76,15.0,2.5,4367.458482236704,21,17.93,84.76,69.6,-7.802376879799743
12,M6I2041,-469.93,15.0,2.5,4900.040855236279,21,25.52,120.64,117.6,-10.427171823965864
13,M6I2042,-559.94,15.0,2.5,4677.776605843265,21,13.75,65.0,123.6,-8.354067589104663
14,M6I2043,-576.1,15.0,2.5,3610.774556469061,21,15.84,74.88,121.8,-6.267617699130465
15,M6I2045,-517.03,15.0,2.5,4983.862461765636,21,20.5183,96.9956,111.6,-9.639406730297345
16,M6I2046,-492.96,15.0,2.5,4856.646825396825,21,23.87,112.84,82.8,-9.852009950902355
17,M2I2036,-598.51,15.0,2.5,3796.03305785124,20,22.0,104.0,0.0,-6.342472235804314
18,M2I2037,-563.55,15.0,2.5,4414.311377245509,20,22.0,104.0,0.0,-7.833042990409918
19,M7V2033,-194.42,18.0,2.5,4662.738095238095,22,59.8,0.0,0.0,-23.9828109003091
20,M6I2012,-577.94,15.0,2.5,3829.1346153846152,14,22.0,104.0,72.0,-6.625488139572646
21,M7V2023,-493.88,13.0,4.5,3685.619047619048,22,109.6,83.2,120.0,-7.462580075360509
22,M7V2025,-1146.97,23.0,4.5,3197.333333333333,22,114.0,104.0,120.0,-2.78763466641092
23,M7V2026,-665.73,15.0,4.8,4785.333333333333,22,108.5,78.0,120.0,-7.1880992794876795
24,M7V2027,-1427.07,19.0,5.3,4104.833333333333,22,108.5,78.0,108.0,-2.8764064364980926
25,M7V2028,-1074.05,28.0,4.6,3308.9166666666665,22,115.1,109.2,120.0,-3.080784569309312
26,M7V2007,-1373.27,14.0,4.6,3018.2,22,116.76,104.0,132.0,-2.197819802369527
27,M7V2009,-510.9,16.0,4.5285714285714285,2134.5,22,209.68,104.0,120.0,-4.177921315325896
28,M7V2010,-811.34,16.0,5.0,2763.0,22,207.38,104.0,126.0,-3.405477358444055
29,M7V2011,-1247.12,17.0,4.6,3497.4418604651164,22,116.3,104.0,120.0,-2.8044148602100174
30,M7V2012,-519.56,19.0,4.8,4758.4,22,208.3,104.0,132.0,-9.158518746631765
31,M7V2013,-577.56,14.0,5.5,1647.4615384615386,22,214.17999999999998,114.4,120.0,-2.8524508942127897
32,M6V2050,-1724.9,9.0,4.05,2070.0,12,97.83,36.56,115.0,-1.2000695692503913
33,M6V2051,-1769.89,12.0,4.2,1793.0434782608695,12,97.83,36.56,115.0,-1.0130818741621623
34,M4V2043,-325.26,23.0,2.5,5194.744318181818,7,52.65,2.6,50.0,-15.971051829864779
35,M7V2047,-917.13,10.0,4.5,1112.5,22,92.0,0.0,0.0,-1.213023235528224
36,M6V2045,-900.04,11.0,3.61,2051.276595744681,19,227.0,87.5,135.0,-2.2790949243863396
37,M7V2060,-162.48,10.0,3.4,659.2592592592592,22,115.0,0.0,0.0,-4.057479439064865
38,M4V2008,-476.89,15.0,4.366666666666666,4323.0,7,108.1,0.0,130.8,-9.064983539180943
39,M4V2009,-152.04,14.0,4.057142857142857,4161.029411764706,7,112.7,0.0,105.0,-27.367991395453213
40,M4V2010,-204.65,11.0,4.1875,4053.6666666666665,7,212.98,0.0,130.8,-19.807801938268586
41,M6V2078,-181.11,21.0,2.9,3784.7311827956983,22,92.0,0.0,0.0,-20.89741694437468
42,M4V2045,-8.44,18.0,4.1,4243.192488262911,7,209.5,98.8,78.0,-502.74792514963406
43,M4V2050,-380.29,9.0,4.0,3214.2105263157896,7,188.6,0.0,78.0,-8.45199854404741
44,M2V2016,-271.76,17.0,2.5,2536.6463414634145,20,62.1,0.0,60.0,-9.334141674504764
45,M2I2034,-704.27,21.0,2.5,2415.3571428571427,20,0.44,2.08,0.0,-3.429589706869727
46,M6V2011,-358.9,24.0,3.911538461538461,4377.4358974358975,21,157.88,119.68,120.0,-12.196812196812198
47,M6V2013,-551.39,24.0,3.832,3543.2051282051284,21,79.68,119.68,120.0,-6.425951011453106
48,M2I2010,-85.83,18.0,2.5,4445.221238938053,32,85.8,119.6,120.0,-51.79099660885533
49,M2I2011,-213.99,16.0,2.5,4844.298245614035,32,59.8,0.0,120.0,-22.637965538642156
50,M2I2012,-534.9,17.0,2.5,5228.347826086957,32,26.0,119.6,120.0,-9.774439757126485
51,M6I20174,-623.14,15.0,2.5,3452.3863636363635,21,33.0,99.0,105.0,-5.540306132869602
52,M6I2025,-59.9,15.0,2.5,3364.6153846153848,21,116.0,78.0,90.0,-56.170540644664186
53,M6I2026,-666.04,15.0,2.5,2826.6666666666665,21,35.0,105.0,97.8,-4.24398934998899
54,M6I2027,-621.57,15.0,2.5,3543.846153846154,21,33.0,99.0,96.0,-5.701443367353884
55,M6I2028,-631.81,15.0,2.5,3157.7049180327867,21,33.0,99.0,96.0,-4.99787106572037
56,M6I2029,-649.24,15.0,2.5,3660.714285714286,21,33.0,99.0,0.0,-5.63846079371925
57,M6I2030,-645.24,15.0,2.5,3166.0,21,33.0,99.0,106.2,-4.9067013824313435
58,M4V2062,-1225.34,9.0,3.896808510638298,2461.772151898734,8,92.0,0.0,120.0,-2.009052305399917
59,M4V2063,-1563.34,8.0,3.537352933705884,4103.96551724138,8,0.0,0.0,120.0,-2.625126662940487
60,M6V2029,-208.48,15.0,2.11,4447.567567567568,17,26.4,242.4,0.0,-21.333305677127633
61,M6V2046,-558.69,10.0,4.8,4937.333333333333,17,128.8,0.0,162.0,-8.837339729247583
62,M6V2047,-689.42,14.0,4.0,4631.818181818182,17,128.8,0.0,165.0,-6.718427347361815
63,M6V2069,-679.33,12.0,3.3,4561.25,17,82.8,0.0,0.0,-6.714336184181472
64,M6V2091,-624.06,8.0,3.41,1858.636363636364,17,119.6,0.0,168.0,-2.9782975413203285
65,M2V2030,-62.67,19.0,2.5,4753.053892215569,20,83.1,0.0,21.0,-75.84257048373335
66,M6V2084,-83.87,14.0,2.53,4952.2,17,84.64,0.0,0.0,-59.04614284010969
67,M6I20103,-469.06,13.0,2.5,2226.875,17,81.5,130.0,120.0,-4.74752696883128
68,M6I20104,-714.94,11.0,2.5,2600.689655172414,17,54.0,0.0,120.0,-3.637633445005754
69,M6I20105,-679.61,12.0,2.5,2695.5,17,54.0,0.0,120.0,-3.9662453465958416
70,M6I20106,-619.52,15.0,2.5,2625.1612903225805,17,54.0,0.0,120.0,-4.237411690215942
71,M6I20129,-708.67,15.0,2.5,1909.1156462585036,21,22.0,104.0,0.0,-2.693941674204501
72,M7V2002,-90.65,21.0,2.973170731707317,2593.846153846154,22,93.1,57.2,138.0,-28.613857185285756
73,M7V2005,-46.05,22.0,2.85875,1740.7692307692307,22,89.1,0.0,120.0,-37.80172053787689
74,M6V2054,-311.7,15.0,2.5,4194.358974358975,21,46.0,0.0,0.0,-13.456397094510667
75,M2V2015,-590.36,15.0,2.8,1850.4736842105265,29,55.2,0.0,0.0,-3.1344835087243825
76,M6I20142,-153.03,15.0,2.5,3447.222222222222,14,96.5,56.0,128.0,-22.526447247090257
77,M6I20143,-170.33,15.0,2.5,3261.6666666666665,14,96.5,56.0,128.0,-19.149102722166774
78,M6I20144,-125.84,15.0,2.5,4075.6,14,96.5,56.0,128.0,-32.387158296249204
79,M6I2059,-130.78,15.0,2.5,3782.413793103448,14,96.5,56.0,128.0,-28.92195896240593
80,M6I2060,-124.07,15.0,2.5,4185.833333333333,14,96.5,56.0,128.0,-33.7376749684318
81,M6I2064,-133.61,15.0,2.5,3663.8888888888887,14,96.5,56.0,128.0,-27.422265465825074
82,M6I2065,-175.62,15.0,2.5,3012.6315789473683,14,96.5,56.0,128.0,-17.154262492582667
83,M6I2066,-276.05,8.0,2.5,4163.414634146341,14,96.5,56.0,128.0,-15.082103365862492
84,M6I2067,-122.66,15.0,2.5,4289.583333333333,14,96.5,56.0,128.0,-34.97132996358498
85,M6V2001,-1611.75,15.0,3.7599999999999993,3221.36,22,16.25,120.25,0.0,-1.9986722506592214
86,M6V2002,-1686.75,15.0,3.87,3202.923076923077,22,16.25,120.25,0.0,-1.8988724333321934
87,M6V2003,-2218.8,15.0,4.6,3490.75,22,16.25,120.25,0.0,-1.573260320894177
88,M6V2062,-144.72,15.0,3.01,5456.4,17,128.0,126.0,72.0,-37.70315091210613
89,M2V2024,-15.82,9.0,3.485483870967741,2965.333333333333,20,133.2,98.8,0.0,-187.44205646860513
90,M6I2032,-1.02,11.0,2.5,2748.6666666666665,15,115.0,0.0,0.0,-2694.7712418300653
91,M6I2034,-228.0,13.0,2.5,2980.3076923076924,15,85.4,0.0,0.0,-13.071524966261808
92,M6I20170,-493.5,16.0,2.5,2028.5,17,108.8,110.4,85.2,-4.110435663627153
93,M4V2017,-42.83,15.0,2.5,4433.218334154756,7,189.99,0.0,118.2,-103.50731576359459
94,M4V2018,-73.84,15.0,2.5,4414.5077720207255,7,183.51,0.0,104.94,-59.78477481068155
95,M7V2042,-1727.93,11.0,4.5,1172.1951219512196,22,92.0,0.0,0.0,-0.678381139254032
96,M7V2043,-670.44,21.0,4.5,1517.857142857143,22,92.0,0.0,0.0,-2.263971634832562
97,M2V2029,-147.6,19.0,4.0,2576.5942028985505,20,112.0,0.0,108.0,-17.456600290640587
98,M4V2059,-107.58,10.0,2.4435294117647057,3984.070796460177,7,108.0,90.0,120.0,-37.03356382654933
99,M6I20118,-289.27,14.0,2.5,3366.4615384615386,17,115.3,119.6,120.0,-11.637783173027064
100,M6V2056,-244.31,12.0,2.76,4264.428571428572,22,92.0,0.0,0.0,-17.454989854809757
101,M6I2071,-704.43,15.0,2.5,3559.1608391608397,21,16.5,78.0,108.0,-5.0525401234485185
102,M4V2013,-75.24,15.0,2.5,3914.354066985646,7,181.305,0.0,138.0,-52.024907854673664
103,M4V2015,-3.68,21.0,2.5,3080.96,7,176.94,0.0,138.6,-837.2173913043478
104,M4V2016,-16.24,15.0,2.5,4692.566371681416,7,184.68,0.0,159.6,-288.951131261171
105,M4V2071,-71.95,18.0,2.5,3106.7619047619046,7,181.71,0.0,125.7,-43.17945663324398
106,M4V2072,-171.78,15.0,2.5,2893.333333333333,7,173.7,0.0,133.32,-16.843249117087748
107,M4V2002,-760.82,13.0,3.5,5053.1506849315065,7,87.4,0.0,96.0,-6.641716417722334
108,M4V2056,-342.56,15.0,3.9441666666666655,4278.534031413612,12,105.8,0.0,90.0,-12.489882156158371
109,M4V2004,-1323.71,13.0,4.546842105263158,4076.4,7,165.3,0.0,30.0,-3.0795264823866253
110,M4V2042,-750.58,12.0,4.336,4763.5,7,188.3,0.0,37.5,-6.346425431000026
111,M6V2071,-58.27,16.0,4.0,3905.777777777778,22,117.3,119.6,0.0,-67.02896478080964
112,M2I2013,-553.55,10.0,2.5,4309.304347826087,29,31.5,0.0,120.0,-7.784851138697656
113,M6V2032,-1403.76,15.0,4.01,5091.395348837209,17,46.0,0.0,0.0,-3.6269699584239534
114,M6V2033,-454.09,15.0,3.7,4792.5,17,69.0,0.0,0.0,-10.554075183333701
115,M6I2001,-400.21,14.0,2.5,4464.583333333333,21,109.8,101.2,0.0,-11.155601642471035
116,M6I2002,-80.93,14.0,2.5,4412.5,21,112.0,110.0,0.0,-54.52242678858272
117,M6I2077,-61.75,15.0,2.5,4197.8,21,109.8,101.2,0.0,-67.98056680161943
118,M6I2078,-393.52,13.0,2.5,5153.4,21,109.8,101.2,0.0,-13.095649522260622
119,M7V2050,-270.7,16.0,4.5,4338.064516129032,22,97.13,115.96,90.0,-16.025358389837578
120,M7V2064,-65.3,21.0,3.25,1616.8,22,111.1,104.0,120.0,-24.75957120980092
121,M4V2068,-92.35,10.0,3.1782142857142865,4952.321428571428,7,147.2,0.0,90.0,-53.6255704230799
122,M4V2069,-266.22,14.0,2.5,6272.391304347826,7,97.55,127.1,191.5,-23.560931952324488
123,M6V2080,-773.93,15.0,2.62,4036.6666666666665,20,0.0,0.0,75.0,-5.215803324159377
124,M4V2060,-85.23,11.0,2.4866666666666672,4217.515923566879,7,108.0,90.0,120.0,-49.483936683877495
125,M6I20164,-490.81,14.0,2.5,3099.6875,15,104.86,86.64,77.07,-6.3154530266294495
126,M6I20141,-751.2,15.0,2.5,3216.0,22,0.0,0.0,120.0,-4.281150159744409
127,M6I20147,-33.22,12.0,2.5,6275.5,22,161.0,120.0,122.0,-188.90728476821192
128,M6I20156,-631.74,15.0,2.5,2127.1111111111118,15,25.3,119.6,0.0,-3.3670673237583686
129,M6I2172,-883.5,12.0,2.72,2700.0,17,24.2,114.4,0.0,-3.0560271646859083
130,M7I21131,-398.67,20.0,3.950561797752809,3600.0,23,157.45,80.6,111.0,-9.030024832568289
131,M7I2196,-53.86,20.0,3.2,3300.0,23,137.53500000000003,77.22,109.98,-61.26995915336057
132,M7I2198,-550.94,22.0,3.4,3000.0,23,97.878,79.976,98.16,-5.445239045994119
133,M7I2179,-1147.02,20.0,3.4375,4283.958333333333,22,19.8,93.6,120.0,-3.734859316605929
134,M6V2136,-1008.32,15.0,3.73,7611.724137931034,17,112.33,105.56,120.0,-7.548917147265783
135,M6V2144,-454.38,15.0,2.4,2888.7804878048782,17,29.7,140.4,0.0,-6.357631250946077
