,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
186,M7I2098,1088.29,350.0,16.0,2.5,4171.764705882353,138.0,15.6,0.0,115.44,0.0,0.0,108.0
187,M7I2005,593.5,350.0,22.0,2.5,3343.246073298429,126.5,0.0,22.0,0.0,104.0,0.0,120.0
188,M7I2006,361.95,350.0,14.0,2.5,1999.1588785046729,127.88,0.0,22.0,0.0,104.0,0.0,120.0
189,M7I2007,389.23,350.0,15.0,2.5,2140.8333333333335,128.8,0.0,22.0,0.0,104.0,0.0,120.0
190,M7I2008,2634.56,350.0,46.0,2.5,2811.090909090909,124.2,0.0,25.3,0.0,119.6,0.0,120.0
191,M7I2009,536.26,350.0,18.0,2.5,2942.682926829268,128.8,0.0,24.2,0.0,114.4,0.0,120.0
192,M2I2024,788.37,350.0,15.0,2.5,3511.413043478261,55.2,0.0,26.4,0.0,124.8,0.0,0.0
193,M2I2047,755.18,350.0,15.0,2.5,2860.3030303030305,55.2,0.0,26.4,0.0,124.8,0.0,0.0
194,M2V2013,786.2,450.0,23.0,2.5,3961.309523809524,55.2,0.0,0.0,0.0,0.0,0.0,0.0
195,M6V2037,205.85,450.0,11.0,3.4050000000000002,6176.0,0.0,37.125,37.125,0.0,0.0,0.0,0.0
196,M6V2038,72.04,450.0,14.0,3.5666666666666673,5896.8,0.0,37.125,37.125,0.0,0.0,0.0,0.0
197,M6V2041,363.87,450.0,10.0,3.0591666666666666,6322.222222222223,0.0,37.125,37.125,0.0,0.0,0.0,0.0
198,M2V2030,-62.67,450.0,19.0,2.5,4753.053892215569,62.1,21.0,0.0,0.0,0.0,21.0,0.0
199,M2V2026,1275.25,450.0,18.0,1.9755555555555557,2234.84375,123.28,0.0,0.0,0.0,0.0,0.0,99.6
200,M6V2053,562.77,450.0,18.0,1.95,4166.615384615385,84.916,36.0,0.0,126.0,0.0,72.0,0.0
201,M6V2084,-83.87,450.0,14.0,2.53,4952.2,84.64,0.0,0.0,0.0,0.0,0.0,0.0
202,M6I20115,750.63,350.0,10.0,2.5,3834.494382022472,92.0,15.0,0.0,90.0,0.0,30.0,102.0
203,M6I20116,854.15,350.0,14.0,2.5,4153.220338983051,92.0,15.0,0.0,90.0,0.0,30.0,90.0
204,M6I20117,814.24,350.0,14.0,2.5,3612.962962962963,92.0,13.3,0.0,79.8,0.0,26.6,99.0
205,M6I20103,-469.06,350.0,13.0,2.5,2226.875,0.0,54.0,27.5,0.0,130.0,0.0,120.0
206,M6I20104,-714.94,350.0,11.0,2.5,2600.689655172414,0.0,54.0,0.0,0.0,0.0,0.0,120.0
207,M6I20105,-679.61,350.0,12.0,2.5,2695.5,0.0,54.0,0.0,0.0,0.0,0.0,120.0
208,M6I20106,-619.52,350.0,15.0,2.5,2625.1612903225805,0.0,54.0,0.0,0.0,0.0,0.0,120.0
209,M6I20129,-708.67,350.0,15.0,2.5,1909.1156462585034,0.0,0.0,22.0,0.0,104.0,0.0,0.0
210,M7I2052,910.12,350.0,17.0,2.5,1805.4666666666667,92.0,0.0,22.33,0.0,105.56,0.0,120.0
211,M7I2053,1076.07,350.0,18.0,2.5,3460.8333333333335,92.0,0.0,24.529999999999998,0.0,115.96000000000001,0.0,120.0
212,M7I2054,1060.16,350.0,17.0,2.5,3525.5833333333335,92.0,0.0,24.529999999999998,0.0,115.96000000000001,0.0,120.0
213,M2I2001,349.85,350.0,14.0,2.5,4786.9,55.2,60.0,0.0,0.0,0.0,60.0,48.0
214,M2I2002,488.41,350.0,18.0,2.5,5234.476190476191,55.2,66.0,0.0,0.0,0.0,66.0,48.0
215,M2I2003,462.26,350.0,20.0,2.5,4358.380952380952,55.2,60.0,0.0,0.0,0.0,60.0,48.0
216,M7I2040,334.79,350.0,21.0,2.5,3546.0,0.0,55.55,45.32,81.4,3.64,0.0,112.2
217,M7I2041,352.49,350.0,25.0,2.5,2173.214285714286,0.0,55.55,45.32,81.4,3.64,0.0,123.6
218,M7I2042,358.37,350.0,21.0,2.5,986.6666666666666,0.0,62.3,51.629999999999995,81.4,1.56,0.0,125.4
219,M7I2043,375.07,350.0,21.0,2.5,1495.4285714285713,0.0,62.3,51.629999999999995,81.4,1.56,0.0,124.8
220,M7I2044,300.12,350.0,25.0,2.5,1485.531914893617,0.0,58.55,44.879999999999995,103.6,1.56,0.0,118.8
221,M7I2046,275.9,350.0,25.0,2.5,1156.9565217391305,0.0,55.55,45.32,81.4,3.64,0.0,125.4
222,M7V2001,266.88,450.0,21.0,2.6719999999999997,3663.3333333333335,0.0,44.55,55.55,0.0,52.0,0.0,120.0
223,M7V2002,-90.65,450.0,21.0,2.973170731707317,2593.846153846154,0.0,40.5,52.6,0.0,57.2,0.0,138.0
224,M7V2003,364.96,450.0,22.0,2.5142857142857142,4148.231292517007,0.0,40.5,53.7,0.0,62.4,0.0,138.0
225,M7V2004,162.44,450.0,21.0,3.0808988764044942,3708.5227272727275,98.9,15.525,27.625,0.0,57.2,0.0,138.0
226,M7V2005,-46.05,450.0,22.0,2.8587499999999997,1740.7692307692307,0.0,44.55,44.55,0.0,0.0,0.0,120.0
227,M6I20111,735.25,350.0,13.0,2.5,3025.6923076923076,161.0,0.0,25.3,0.0,119.6,0.0,132.0
228,M6V2036,955.36,450.0,15.0,3.3,4370.566037735849,230.0,0.0,25.3,0.0,119.6,0.0,0.0
229,M4V2058,1747.49,450.0,17.0,2.0465306122448976,5355.567010309278,221.053,0.0,4.75,0.0,2.6,0.0,102.0
230,M6V2054,-311.7,450.0,15.0,2.5,4194.358974358975,46.0,0.0,0.0,0.0,0.0,0.0,0.0
231,M4V2067,1940.39,450.0,16.0,1.35,3716.3120567375886,219.144,0.0,0.55,0.0,2.6,0.0,136.026
232,M7I20100,555.93,350.0,15.0,2.5,3388.6666666666665,69.0,0.0,31.5,0.0,0.0,0.0,0.0
233,M7I20101,536.12,350.0,13.0,2.5,3597.153846153846,69.0,0.0,31.5,0.0,0.0,0.0,0.0
234,M7I2058,675.28,350.0,15.0,2.5,5675.272727272727,69.0,0.0,31.5,0.0,0.0,0.0,0.0
235,M7I2059,620.22,350.0,16.0,2.5,3871.818181818182,69.0,0.0,31.5,0.0,0.0,0.0,0.0
236,M7I2060,602.91,350.0,16.0,2.5,3647.3529411764707,69.0,0.0,31.5,0.0,0.0,0.0,0.0
237,M7I2061,564.37,350.0,13.0,2.5,3883.177570093458,69.0,0.0,31.5,0.0,0.0,0.0,0.0
238,M4V2028,728.41,450.0,8.0,2.476,4068.5714285714284,188.6,0.0,0.0,0.0,0.0,0.0,90.0
239,M2I2025,950.38,350.0,20.0,2.5,4560.428571428572,82.8,112.5,25.3,0.0,119.6,132.0,0.0
240,M2I2026,46.64,350.0,17.0,2.5,3651.875,0.0,112.5,26.4,0.0,124.8,132.0,0.0
241,M2I2027,23.35,350.0,18.0,2.5,2936.818181818182,0.0,112.5,26.4,0.0,124.8,132.0,0.0
242,M2V2015,-590.36,450.0,15.0,2.8,1850.4736842105262,55.2,0.0,0.0,0.0,0.0,0.0,0.0
243,M6I20142,-153.03,350.0,15.0,2.5,3447.222222222222,0.0,76.25,20.25,56.0,0.0,56.0,72.0
244,M6I20143,-170.33,350.0,15.0,2.5,3261.6666666666665,0.0,76.25,20.25,56.0,0.0,56.0,72.0
245,M6I20144,-125.84,350.0,15.0,2.5,4075.6,0.0,76.25,20.25,56.0,0.0,56.0,72.0
246,M6I20145,167.6,350.0,10.0,2.5,3445.6,0.0,76.25,20.25,56.0,0.0,56.0,72.0
247,M6I2059,-130.78,350.0,15.0,2.5,3782.4137931034484,0.0,76.25,20.25,56.0,0.0,56.0,72.0
248,M6I2060,-124.07,350.0,15.0,2.5,4185.833333333333,0.0,76.25,20.25,56.0,0.0,56.0,72.0
249,M6I2061,1961.23,350.0,11.0,2.5,4595.896266742661,216.2,76.25,20.25,56.0,0.0,128.0,0.0
250,M6I2062,761.95,350.0,9.0,2.5,4851.866666666667,110.4,76.25,20.25,56.0,0.0,56.0,72.0
251,M6I2063,807.55,350.0,12.0,2.5,4938.333333333333,110.4,76.25,20.25,56.0,0.0,128.0,0.0
252,M6I2064,-133.61,350.0,15.0,2.5,3663.8888888888887,0.0,76.25,20.25,56.0,0.0,56.0,72.0
253,M6I2065,-175.62,350.0,15.0,2.5,3012.6315789473683,0.0,76.25,20.25,56.0,0.0,56.0,72.0
254,M6I2066,-276.05,350.0,8.0,2.5,4163.414634146341,0.0,76.25,20.25,56.0,0.0,56.0,72.0
255,M6I2067,-122.66,350.0,15.0,2.5,4289.583333333333,0.0,76.25,20.25,56.0,0.0,56.0,72.0
256,M6I2018,61.97,350.0,15.0,2.5,3871.28,92.0,15.5,0.0,114.7,0.0,0.0,114.0
257,M6I2019,59.15,350.0,15.0,2.5,3964.72,92.0,15.5,0.0,114.7,0.0,0.0,114.0
258,M6I2020,1167.52,350.0,15.0,2.5,4584.25,92.0,0.0,34.65,0.0,163.8,0.0,120.0
259,M6I2021,796.11,350.0,9.0,2.5,4822.833333333333,92.0,16.25,0.0,120.25,0.0,0.0,120.0
260,M6I2075,731.08,350.0,8.0,2.5,3593.0526315789475,92.0,15.5,0.0,114.7,0.0,0.0,114.0
261,M6V2001,-1611.75,450.0,15.0,3.7599999999999993,3221.36,0.0,16.25,0.0,120.25,0.0,0.0,0.0
262,M6V2002,-1686.75,450.0,15.0,3.87,3202.923076923077,0.0,16.25,0.0,120.25,0.0,0.0,0.0
263,M6V2003,-2218.8,450.0,15.0,4.6,3490.75,0.0,16.25,0.0,120.25,0.0,0.0,0.0
264,M6I20149,948.73,350.0,10.0,2.5,4389.6,92.0,40.0,0.0,120.0,0.0,60.0,78.0
265,M6I20150,980.97,350.0,15.0,2.5,3754.2,92.0,40.0,0.0,120.0,0.0,60.0,78.0
266,M6V2061,1236.15,450.0,12.0,2.66,4987.0,216.2,36.0,0.0,126.0,0.0,72.0,0.0
267,M6V2062,-144.72,450.0,15.0,3.01,5456.4,92.0,36.0,0.0,126.0,0.0,72.0,0.0
268,M4V2057,1420.09,450.0,22.0,2.3,3917.375190756486,206.90800000000002,0.0,4.75,0.0,2.6,0.0,72.0
269,M4V2065,1363.35,450.0,20.0,1.98,4323.611111111111,182.0772,0.0,4.75,0.0,2.6,0.0,93.12
270,M2V2023,712.36,450.0,8.0,2.5,3380.5555555555557,59.8,0.0,77.8,0.0,119.6,0.0,0.0
271,M2V2024,-15.82,450.0,9.0,3.485483870967741,2965.3333333333335,59.8,0.0,73.4,0.0,98.8,0.0,0.0
272,M7I2010,599.17,350.0,15.0,2.5,2908.2,138.0,0.0,22.0,0.0,104.0,0.0,180.0
273,M7I2011,609.35,350.0,16.0,2.5,2991.509433962264,138.0,0.0,22.0,0.0,104.0,0.0,120.0
274,M6V2007,491.82,450.0,24.0,2.2008333333333328,3521.714285714286,66.7,90.0,0.0,0.0,0.0,90.0,60.0
275,M6V2008,1342.52,450.0,9.0,2.1412499999999994,5423.857142857143,92.0,0.0,26.4,0.0,124.8,0.0,123.0
276,M6V2009,1014.71,450.0,24.0,2.598846153846154,4325.2,190.9,0.0,0.0,0.0,0.0,0.0,135.6
277,M6V2010,1068.16,450.0,30.0,2.061562500000001,4297.578947368421,142.6,0.0,0.0,0.0,0.0,0.0,120.0
278,M2V2025,724.29,450.0,13.0,2.4,991.4634146341464,61.18,0.0,0.0,0.0,0.0,0.0,0.0
279,M6I2031,13.72,350.0,14.0,2.5,2147.75,92.0,0.0,24.2,0.0,114.4,0.0,0.0
280,M6I2032,-1.02,350.0,11.0,2.5,2748.6666666666665,115.0,0.0,0.0,0.0,0.0,0.0,0.0
281,M6I2033,816.63,350.0,13.0,2.5,1796.820512820513,92.0,0.0,24.2,0.0,114.4,0.0,0.0
282,M6I2034,-228.0,350.0,13.0,2.5,2980.3076923076924,64.4,0.0,21.0,0.0,0.0,0.0,0.0
283,M6V2064,701.71,450.0,19.0,2.6,2520.25,165.6,0.0,21.0,0.0,0.0,0.0,0.0
284,M6V2065,652.23,450.0,17.0,2.6,2022.25,165.6,0.0,21.0,0.0,0.0,0.0,0.0
285,M6I20170,-493.5,350.0,16.0,2.5,2028.5,0.0,108.8,0.0,110.4,0.0,85.2,0.0
286,M4V2017,-42.83,450.0,15.0,2.5,4433.218334154756,0.0,189.99,0.0,0.0,0.0,0.0,118.2
287,M4V2018,-73.84,450.0,15.0,2.5,4414.5077720207255,0.0,183.51,0.0,0.0,0.0,0.0,104.94
288,M6V2063,52.6,450.0,19.0,2.45,1763.0,101.2,0.0,0.0,0.0,0.0,0.0,0.0
289,M6I20165,811.5,350.0,11.0,2.5,2390.153846153846,92.0,18.0,0.0,108.0,0.0,54.0,96.0
290,M6I20166,783.94,350.0,10.0,2.5,2664.4210526315787,184.0,18.0,0.0,108.0,0.0,54.0,96.0
291,M6I20178,876.91,350.0,15.0,2.5,7152.0,161.0,24.0,0.55,120.0,2.6,0.0,139.8
292,M6I20180,557.01,350.0,15.0,2.5,1951.8666666666666,161.0,24.0,0.55,120.0,2.6,0.0,139.8
293,M7V2042,-1727.93,450.0,11.0,4.5,1172.1951219512196,92.0,0.0,0.0,0.0,0.0,0.0,0.0
294,M7V2043,-670.44,450.0,21.0,4.5,1517.857142857143,92.0,0.0,0.0,0.0,0.0,0.0,0.0
295,M7V2044,754.15,450.0,19.0,2.5,1326.7241379310344,92.0,0.0,0.0,0.0,0.0,0.0,0.0
296,M2V2028,296.23,450.0,21.0,2.5,3197.9710144927535,80.5,0.0,31.5,0.0,0.0,0.0,108.0
297,M2V2029,-147.6,450.0,19.0,4.0,2576.5942028985505,80.5,0.0,31.5,0.0,0.0,0.0,108.0
298,M4V2059,-107.58,450.0,10.0,2.4435294117647057,3984.0707964601766,0.0,108.0,0.0,90.0,0.0,30.0,90.0
299,M6I20118,-289.27,350.0,14.0,2.5,3366.4615384615386,0.0,90.0,25.3,0.0,119.6,0.0,120.0
300,M7I2055,271.42,350.0,13.0,2.5,3311.4285714285716,138.0,0.0,0.0,0.0,0.0,0.0,0.0
301,M7I2056,243.16,350.0,12.0,2.5,3047.3958333333335,138.0,0.0,0.0,0.0,0.0,0.0,0.0
302,M7I2057,371.45,350.0,18.0,2.5,3158.9622641509436,138.0,0.0,0.0,0.0,0.0,0.0,0.0
303,M6I20108,876.85,350.0,16.0,2.5,2494.864864864865,92.0,15.0,0.0,111.0,0.0,0.0,132.0
304,M6I20109,864.07,350.0,13.0,2.5,4044.266666666667,92.0,15.0,0.0,111.0,0.0,0.0,132.0
305,M6I20119,932.34,350.0,19.0,2.5,2739.5238095238096,92.0,15.0,0.0,111.0,0.0,0.0,132.0
306,M6V2056,-244.31,450.0,12.0,2.76,4264.428571428572,92.0,0.0,0.0,0.0,0.0,0.0,0.0
307,M2V2018,950.49,450.0,23.0,2.6,3779.8709677419356,123.28,0.0,0.0,0.0,0.0,0.0,99.6
308,M7I2001,2098.82,350.0,22.0,2.5,3327.6,92.0,0.0,16.5,0.0,78.0,0.0,108.0
309,M7I2002,1013.55,350.0,22.0,2.5,4268.4,92.0,10.0,0.0,70.0,0.0,20.0,108.0
310,M7I2003,1099.29,350.0,17.0,2.5,2890.5,207.0,10.0,0.33,70.0,1.56,20.0,108.0
311,M7I2004,874.87,350.0,21.0,2.5,6631.208791208791,161.0,10.0,0.0,70.0,0.0,20.0,108.0
312,M7V2015,996.76,450.0,21.0,2.5,6041.796875,92.0,0.0,0.0,0.0,0.0,0.0,0.0
313,M7V2016,908.8,450.0,19.0,2.5,5181.12676056338,124.2,0.0,0.0,0.0,0.0,0.0,0.0
314,M7V2017,993.89,450.0,24.0,2.551489361702128,4672.826086956522,92.0,0.0,0.0,0.0,0.0,0.0,0.0
315,M7V2018,1038.15,450.0,23.0,2.3996666666666657,4283.666666666667,92.0,0.0,0.0,0.0,0.0,0.0,0.0
316,M7V2019,834.37,450.0,28.0,2.80340909090909,4112.747252747253,92.0,0.0,0.0,0.0,0.0,0.0,0.0
317,M7V2072,266.63,450.0,20.0,2.5,2666.1946902654868,59.8,0.0,0.0,0.0,0.0,0.0,0.0
318,M6I2088,1025.8,350.0,16.0,2.5,3862.222222222222,92.0,36.0,0.0,108.0,0.0,54.0,96.0
319,M6I2089,1027.58,350.0,17.0,2.5,3383.3333333333335,92.0,36.0,0.0,108.0,0.0,54.0,96.0
320,M6I2090,1002.87,350.0,17.0,2.5,2983.934426229508,92.0,36.0,0.0,108.0,0.0,54.0,96.0
321,M6I2071,-704.43,350.0,15.0,2.5,3559.1608391608393,0.0,0.0,16.5,0.0,78.0,0.0,108.0
322,M4V2013,-75.24,450.0,15.0,2.5,3914.354066985646,0.0,181.305,0.0,0.0,0.0,0.0,138.0
323,M4V2014,76.09,450.0,16.0,2.5,5539.351851851851,0.0,112.23,0.0,0.0,0.0,0.0,94.8
324,M4V2015,-3.68,450.0,21.0,2.5,3080.96,0.0,176.94,0.0,0.0,0.0,0.0,138.6
325,M4V2016,-16.24,450.0,15.0,2.5,4692.566371681416,0.0,184.68,0.0,0.0,0.0,0.0,159.6
326,M7I2069,792.55,350.0,12.0,2.5,3412.2184894861266,92.0,15.0,0.33,111.0,1.56,0.0,120.0
327,M7I2070,829.63,350.0,15.0,2.5,3276.563677467973,184.0,14.0,0.275,103.6,1.3,0.0,60.0
328,M7I2071,890.6,350.0,16.0,2.5,4065.565515157619,184.0,14.0,0.275,103.6,1.3,0.0,60.0
329,M7I2072,969.56,350.0,20.0,2.5,3510.6161841128437,92.0,15.5,0.33,114.7,1.56,0.0,120.0
330,M7I2073,899.78,350.0,16.0,2.5,3915.9245678365637,92.0,15.5,0.605,114.7,2.8600000000000003,0.0,120.0
331,M7I2074,932.07,350.0,18.0,2.5,4225.208333333333,184.0,14.0,0.33,103.6,1.56,0.0,120.0
332,M2V2019,76.92,450.0,11.0,2.9,1753.6134453781513,53.36,0.0,57.86,0.0,98.8,0.0,0.0
333,M2V2020,261.41,450.0,10.0,2.7,2494.7619047619046,80.96000000000001,42.24,58.3,0.0,100.88,17.6,0.0
334,M4V2071,-71.95,450.0,18.0,2.5,3106.7619047619046,0.0,181.71,0.0,0.0,0.0,0.0,125.7
335,M4V2072,-171.78,450.0,15.0,2.5,2893.3333333333335,0.0,173.7,0.0,0.0,0.0,0.0,133.32
336,M6I20113,703.84,350.0,14.0,2.5,2215.5882352941176,161.0,0.0,25.3,0.0,119.6,0.0,132.0
337,M6I2072,581.43,350.0,11.0,2.5,2074.0,161.0,0.0,25.3,0.0,119.6,0.0,0.0
338,M7I2068,1217.99,350.0,23.0,2.5,3486.6111111111113,92.0,0.0,28.1,0.0,83.2,0.0,100.2
339,M6I20136,1109.08,350.0,21.0,2.5,2605.815831987076,92.0,0.0,27.5,0.0,130.0,0.0,150.0
340,M6I20137,1098.14,350.0,21.0,2.5,2240.8829174664106,138.0,0.0,27.5,0.0,130.0,0.0,150.0
341,M6I20138,1194.88,350.0,21.0,2.5,4087.0,92.0,0.0,27.5,0.0,130.0,0.0,150.0
342,M6I20139,1192.08,350.0,22.0,2.5,3788.6746987951806,92.0,0.0,27.5,0.0,130.0,0.0,150.0
343,M6I2079,1950.48,350.0,8.0,2.5,4695.857142857143,276.0,0.0,21.12,0.0,99.84,0.0,97.2
344,M6I2080,1935.19,350.0,8.0,2.5,4505.652173913043,276.0,0.0,21.23,0.0,100.36,0.0,97.2
345,M6I2081,2039.91,350.0,13.0,2.5,4648.5,276.0,0.0,21.01,0.0,99.32,0.0,108.0
346,M6I2082,2001.49,350.0,13.0,2.5,3731.4814814814813,276.0,0.0,21.45,0.0,101.4,0.0,111.0
347,M6I2083,2034.25,350.0,15.0,2.5,3586.875,276.0,0.0,21.56,0.0,101.92,0.0,111.0
348,M6I2084,1274.52,350.0,15.0,2.5,4261.0,207.0,0.0,21.34,0.0,100.88,0.0,97.8
349,M6I2085,512.23,350.0,10.0,2.5,6101.818181818182,124.2,61.0,0.0,120.0,0.0,70.0,60.0
350,M4V2001,1113.0,450.0,17.0,2.2,5705.454545454545,87.4,0.0,0.0,0.0,0.0,0.0,141.0
351,M4V2002,-760.82,450.0,13.0,3.5,5053.1506849315065,87.4,0.0,0.0,0.0,0.0,0.0,96.0
352,M4V2003,820.0,450.0,11.0,2.2,2742.0833333333335,173.65,0.0,0.0,0.0,0.0,0.0,114.0
353,M4V2054,474.06,450.0,15.0,2.5,3166.904761904762,151.8,0.0,0.0,0.0,0.0,0.0,84.0
354,M4V2055,734.38,450.0,13.0,2.5,3148.846153846154,115.0,0.0,0.0,0.0,0.0,0.0,90.0
355,M4V2056,-342.56,450.0,15.0,3.9441666666666655,4278.534031413612,105.8,0.0,0.0,0.0,0.0,0.0,90.0
356,M6V2048,1114.17,450.0,12.0,2.1,4756.938603868797,92.0,0.0,0.0,0.0,0.0,0.0,120.0
357,M4V2004,-1323.71,450.0,13.0,4.546842105263158,4076.4,82.8,82.5,0.0,0.0,0.0,30.0,0.0
358,M4V2042,-750.58,450.0,12.0,4.336,4763.5,105.8,82.5,0.0,0.0,0.0,37.5,0.0
359,M6I2087,993.24,350.0,19.0,2.5,3686.875,174.8,0.0,23.1,0.0,109.2,0.0,69.0
360,M6I2099,1109.08,350.0,18.0,2.5,3876.0,174.8,0.0,38.5,0.0,182.0,0.0,75.0
361,M6I20100,1178.45,350.0,17.0,2.5,4239.64705882353,92.0,0.0,25.3,0.0,119.6,0.0,120.0
362,M6I20101,1145.55,350.0,14.0,2.5,4672.278481012659,92.0,0.0,25.3,0.0,119.6,0.0,120.0
363,M6I20102,1035.35,350.0,12.0,2.5,3488.4615384615386,92.0,0.0,25.3,0.0,119.6,0.0,120.0
364,M6V2070,240.19,450.0,18.0,3.7,4313.888888888889,92.0,0.0,25.3,0.0,119.6,0.0,0.0
365,M6V2071,-58.27,450.0,16.0,4.0,3905.777777777778,92.0,0.0,25.3,0.0,119.6,0.0,0.0
366,M6V2072,113.04,450.0,16.0,3.7,3202.5263157894738,92.0,0.0,25.3,0.0,119.6,0.0,0.0
367,M7I2019,1107.87,350.0,24.0,2.5,3073.779527559055,92.0,0.0,16.28,0.0,76.96,0.0,103.2
368,M7I2020,1094.84,350.0,24.0,2.5,3246.6176470588234,92.0,0.0,16.28,0.0,76.96,0.0,105.0
369,M7I2021,1150.63,350.0,24.0,2.5,3684.5833333333335,92.0,0.0,19.58,0.0,92.56,0.0,103.2
370,M7I2022,1119.66,350.0,24.0,2.5,3536.3414634146343,92.0,0.0,15.18,0.0,71.76,0.0,103.2
371,M7I2079,1057.6,350.0,21.0,2.5,3553.2183908045977,92.0,0.0,15.18,0.0,71.76,0.0,82.2
372,M7I2080,1134.51,350.0,23.0,2.5,3831.6,92.0,0.0,16.17,0.0,76.44,0.0,100.2
