,farm_identifier,pesticides_applications,N_kg_per_Ha,P_kg_per_Ha,K_kg_per_Ha,irrigation_power_source,irrigation_pumping_depth,irrigation_pumping_distance,water_applied_mm,field_size_Ha,product_fresh_kg,product_finished_kg,yield_kg_per_Ha,soil_organic_matter,CO2_kg_per_Ha,yield_CO2_ratio
0,1,177,51.9,156.0,0.0,Diesel,35.0,0.0,0.035,110.0,221900.0,497520,2017.2727272727273,2.56,171.62,11.75429860897755
1,13,28,96.0,0.0,0.0,Electric,70.0,758.571428571429,0.07,390.0,996691.42,2834220,2555.619025641026,1.72571428571429,1633.58,1.5644284489532352
2,14,18,96.0,0.0,0.0,Electric,50.0,1850.0,0.05,432.0,1492076.244,3380854,3453.8801944444444,2.47,1444.34,2.3913207378071952
3,20,16,96.0,0.0,0.0,Electric,70.0,600.0,0.07,240.0,409725.314,1224200,1707.1888083333333,2.25,1322.25,1.2911240751244721
4,35,3,36.0,92.0,0.0,Diesel,40.0,270.0,0.04,285.0,995806.0,2869800,3494.0561403508773,2.6,-1239.97,-2.817855383880963
5,40,28,194.88,0.0,0.0,Diesel,80.0,37.5,0.08,163.0,661500.0,1518240,4058.282208588957,3.8125,2044.17,1.9852958455456038
6,41,14,194.88,0.0,0.0,Diesel,80.0,5.0,0.08,60.0,203592.528,688840,3393.2088,3.425,1710.32,1.9839613639552833
7,72,12,27.0,0.0,0.0,Diesel,55.0,207.5,0.055,241.0,1302493.0,2789980,5404.535269709543,2.9,-980.69,-5.510951747962703
8,86,25,116.0,0.0,0.0,Diesel,110.0,7.5,0.11,224.0,965548.812,2711980,4310.485767857143,4.125,-1182.4,-3.645539384182293
9,87,99,197.68,154.4,0.0,Electric,100.0,17.1111111111111,0.1,547.0,2077826.76,4544150,3798.586398537477,4.11111111111111,367.38,10.33966573721345
10,88,55,183.68,166.4,0.0,Diesel,94.0,5.0,0.094,323.0,1171090.42,2664370,3625.6669349845197,4.08,-295.33,-12.276663173346831
11,92,12,195.48,144.0,0.0,Diesel,90.0,7.0,0.09,51.6,97740.0,284080,1894.1860465116279,4.8,-1782.28,-1.06278814019774
12,94,13,105.5,78.2,0.0,Electric,100.0,50.0,0.1,68.9,282347.98,860960,4097.938751814223,5.5,-2195.34,-1.8666533438165491
13,96,22,138.07999999999998,92.0,0.0,Electric,80.0,5.0,0.08,103.7,343438.3523,1200780,3311.8452487946,5.35,-1904.26,-1.7391770287642445
14,99,20,133.2,145.6,0.0,Electric,63.0,237.0,0.063,94.0,298635.98,809880,3176.978510638298,2.47,1482.7,2.14269812547265
15,111,15,143.84,0.0,0.0,Electric,100.0,20.0,0.1,181.4,772276.8,2212540,4257.314222712238,4.8,-1715.88,-2.4811258495420647
16,117,12,116.0,0.0,0.0,Diesel,80.0,5.0,0.08,147.0,524294.692,1678110,3566.6305578231295,3.7,-1215.19,-2.93503942414201
17,118,110,184.48,92.0,0.0,Diesel,42.0909090909091,547.090909090909,0.0420909090909091,450.63,1391579.7,4003780,3088.076026895679,2.70272727272727,2585.32,1.1944656858321907
18,143,12,0.0,0.0,0.0,Diesel,50.0,400.0,0.05,413.0,1661478.0,4336100,4022.9491525423728,2.7,-1131.37,-3.555820953836829
19,145,260,54.9,92.0,0.0,Electric,82.2692307692308,649.038461538462,0.0822692307692308,1498.9,5725524.1841,18305860,3819.8173221028756,2.20266666666667,4737.55,0.8062853842392957
20,146,32,123.12,101.2,0.0,Electric,65.0,0.0,0.065,267.0,778467.0,1734480,2915.6067415730336,2.3875,716.72,4.067985742790816
21,151,78,220.88,154.4,0.0,Diesel,84.1666666666667,5.0,0.0841666666666667,292.4,1138733.52,2643660,3894.437482900137,3.46,3071.14,1.2680755299009936
22,159,39,220.88,154.4,0.0,Diesel,80.0,18.3333333333333,0.08,108.5,348429.22,960420,3211.3292165898615,3.90333333333333,2276.85,1.4104263419153047
23,184,26,208.88,142.4,0.0,Diesel,80.0,5.0,0.08,79.0,298340.0,641100,3776.4556962025317,3.545,1892.55,1.9954324568452786
24,199,30,287.2,41.6,0.0,Electric,45.0,800.0,0.045,172.0,643548.0,1463500,3741.5581395348836,2.72666666666667,2756.1,1.3575552917292129
25,200,72,215.28,92.0,0.0,Diesel,94.1666666666667,14.5,0.0941666666666667,355.8,1033283.89,3208660,2904.1143620011244,5.4,-164.27,-17.678908881725963
26,220,60,54.9,92.0,0.0,Electric,98.1666666666667,867.833333333333,0.0981666666666667,277.1,1001442.482,2740408,3614.0111223385056,2.14,3856.35,0.9371584846651642
27,222,50,312.4,279.2,0.0,Electric,45.6666666666667,712.0,0.0378335,360.0,912931.9361,3225560,2535.9220447222224,2.776,3308.03,0.7665958424567559
28,288,26,220.88,154.4,0.0,Electric,100.0,50.0,0.1,125.0,349837.38,1067860,2798.69904,3.21,1904.26,1.46970426307332
29,293,7,148.48,0.0,0.0,Diesel,80.0,5.0,0.08,79.0,248720.0,492480,3148.3544303797466,3.5,3149.04,0.9997822925017614
30,310,12,116.0,0.0,0.0,Diesel,80.0,5.0,0.08,112.0,581475.0,1518100,5191.741071428572,3.5,-1030.97,-5.035782875766095
31,328,14,194.88,0.0,0.0,Diesel,100.0,15.0,0.1,142.0,498289.0,1300080,3509.0774647887324,1.8,516.64,6.792113395766361
32,340,70,36.0,113.0,0.0,Electric,65.0,0.0,0.065,222.0,680648.218,1543300,3065.982963963964,2.17285714285714,1940.8,1.5797521454884398
33,344,22,144.44,144.0,0.0,Diesel,80.0,5.0,0.08,83.0,370948.0,1031960,4469.253012048192,3.2,-656.92,-6.8033444133961405
34,346,12,195.48,144.0,0.0,Diesel,110.0,30.0,0.11,54.0,217323.0,630180,4024.5,5.0,-1846.63,-2.1793754027607046
35,393,40,163.2,133.6,0.0,Electric,48.0,600.0,0.048,480.0,1477125.0,4334700,3077.34375,2.905,2055.35,1.4972358722358723
36,397,26,51.9,156.0,0.0,Diesel,90.0,5.0,0.09,87.6,330483.0,803720,3772.63698630137,5.5,-2400.58,-1.5715522858231636
37,398,50,207.67999999999998,92.0,0.0,Electric,110.0,25.0,0.11,336.9,1516033.398,4321820,4499.95072128228,6.47142857142857,-1536.49,-2.928721124955112
38,399,36,126.9,208.0,0.0,Diesel,83.3333333333333,11.6666666666667,0.0833333333333333,611.1,2125130.0,8783040,3477.548682703322,6.66666666666667,-2358.06,-1.474749871802805
39,400,10,111.35999999999999,0.0,0.0,Diesel,90.0,10.0,0.09,103.6,393385.0,1031640,3797.1525096525097,5.15,-2259.39,-1.680609593586105
40,404,14,194.88,0.0,0.0,Diesel,80.0,5.0,0.08,89.3,235469.292,533040,2636.8341769316908,4.16,-1080.57,-2.4402252301393625
41,407,12,139.2,0.0,0.0,Diesel,50.0,492.5,0.05,189.0,990858.0,2310560,5242.6349206349205,2.8925,-401.82,-13.047222439487633
42,457,40,184.48,92.0,0.0,Diesel,48.625,662.75,0.048625,230.8,809933.76,2040040,3509.245060658579,2.50333333333333,1110.82,3.159148251434597
43,462,21,194.88,0.0,0.0,Diesel,80.0,5.0,0.08,108.8,366160.0,846280,3365.4411764705883,,1865.95,1.803607372368278
44,467,26,220.88,154.4,0.0,Diesel,80.0,15.0,0.08,82.0,357546.824,865270,4360.32712195122,2.885,1946.12,2.2405232575335643
45,470,6,163.2,0.0,0.0,Diesel,100.0,5.0,0.1,80.3,530859.0,1538520,6610.946450809464,5.9,-2570.0,-2.572352704595122
46,472,26,220.88,154.4,0.0,Diesel,80.0,15.0,0.08,89.4,196018.9511,517060,2192.6057170022373,4.325,-976.88,-2.2444985228505416
47,474,39,206.88,166.4,0.0,Diesel,80.0,13.3333333333333,0.08,206.22,677800.0,1552820,3286.7811075550385,4.304,-696.86,-4.716558717037911
48,494,14,194.88,0.0,0.0,Diesel,70.0,7.5,0.07,96.0,309138.0,945990,3220.1875,2.84,-183.91,-17.509583491925397
49,497,14,194.88,0.0,0.0,Diesel,80.0,5.0,0.08,89.3,308813.0,699220,3458.152295632699,3.87,1712.44,2.0194297584923846
50,498,14,194.88,0.0,0.0,Diesel,95.0,20.0,0.095,140.0,356798.01,1668420,2548.5572142857145,,1683.48,1.5138624838345063
51,499,39,206.88,166.4,0.0,Diesel,80.0,9.0,0.08,172.5,490552.164,1205460,2843.780660869565,2.8,274.54,10.358347274967453
52,502,7,194.88,0.0,0.0,Diesel,90.0,25.0,0.09,37.2,152060.0,326780,4087.6344086021504,,1575.88,2.593874158312911
53,503,5,58.6,78.2,0.0,Diesel,80.0,45.0,0.08,67.6,296840.0,680040,4391.12426035503,5.9,-3032.06,-1.448231321397014
