,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
211,765.19,14.0,2.563913043478261,4805.416666666667,194.0,156.0,115.8
212,871.47,17.0,2.717777777777777,6978.75,203.2,156.0,115.8
213,1031.5,25.0,2.5357142857142856,4213.561643835616,197.7,130.0,115.8
214,1705.3,16.0,2.5846153846153843,5381.578947368421,276.8,156.0,115.8
215,1626.4,31.0,3.2700000000000005,5677.60736196319,284.46000000000004,76.96,120.0
216,1198.62,27.0,2.5,4981.533333333334,209.48,76.96,0.0
217,1555.52,37.0,2.5,5611.565217391304,217.76,76.96,111.0
218,1550.66,33.0,2.5,7689.245283018868,223.28,76.96,0.0
219,1198.42,32.0,2.5,4662.666666666667,200.28,76.96,0.0
220,1131.2,20.0,2.9285714285714284,8543.68,233.06,231.92,132.0
221,183.79,18.0,3.9,7527.272727272727,219.06,228.8,115.2
222,497.31,18.0,3.54,7495.0,223.53,230.36,118.2
223,567.74,18.0,3.657142857142857,7065.106382978724,239.5,231.92,124.2
224,742.46,19.0,3.3125,6109.166666666667,233.06,231.92,118.2
225,2027.96,27.0,2.5,8636.666666666666,274.64,428.48,135.6
226,1296.0,28.0,2.5964285714285715,7594.888888888889,224.5438,76.22160000000001,72.6624
227,1704.04,27.0,2.745945945945946,6293.545454545455,273.475,73.6344,54.5412
228,931.08,24.0,2.371052631578947,5362.086956521739,186.608,73.0296,69.38040000000001
229,654.06,18.0,2.5,8170.476190476191,128.13,95.16,120.0
230,-499.54,16.0,2.5,7009.166666666667,22.0,104.0,114.0
231,62.84,21.0,2.5,9692.583333333334,72.07,123.24,120.0
232,922.66,18.0,2.5,8304.190476190477,167.42000000000002,120.64,120.0
233,687.7,21.0,2.5,7864.0,125.93,84.76,120.0
234,1101.12,26.0,2.5,9402.833333333334,175.17499999999998,131.3,120.0
235,-1917.69,10.0,4.3,7749.830508474576,24.2,114.4,120.0
236,434.41,23.0,2.5,9795.375,114.0,104.0,102.0
237,1367.99,36.0,2.5,5625.3,201.6,83.2,108.0
238,1269.01,31.0,2.5,3978.0,208.2,114.4,90.0
239,-402.67,22.0,2.5,6748.1,20.9,98.8,90.0
240,1324.09,30.0,2.5,6660.930232558139,206.2,83.2,108.0
241,-408.64,25.0,2.5,4366.0,22.0,104.0,90.0
242,-346.99,20.0,2.5,9044.076923076924,24.2,114.4,90.0
243,384.3,21.0,2.5,9175.42857142857,116.2,114.4,84.0
244,695.54,37.0,2.5,8528.25,116.2,114.4,93.0
245,1650.92,22.0,2.4,6342.036553524805,256.7628,76.76480000000001,68.89920000000001
246,-1562.35,15.0,4.3,11647.727272727272,109.5,67.5,114.0
247,-1590.2,15.0,4.25,11672.173913043478,90.6,85.0,111.0
248,-253.39,15.0,1.9448275862068964,7282.533333333334,16.2,88.2,0.0
249,-198.31,15.0,1.9448275862068964,9030.454545454546,16.2,86.4,0.0
250,-1270.38,15.0,3.61,5404.36170212766,106.2,88.2,120.0
251,963.51,19.0,2.8476190476190477,9507.71653543307,213.66000000000003,48.6,106.8
252,-1058.29,19.0,3.8333333333333335,4640.609756097561,80.5,119.6,132.0
253,435.27,15.0,2.83,2379.390243902439,187.60000000000002,104.0,72.0
254,-487.94,18.0,2.9,2216.7073170731705,77.2,104.0,132.0
255,406.01,22.0,2.3,10532.916666666666,211.75,86.8,90.8
256,346.03,22.0,2.4,9965.6,219.4,86.8,84.8
257,779.56,21.0,1.8,9846.818181818182,220.7,93.4,93.6
258,499.34,18.0,2.1,10669.333333333334,217.15,86.8,84.8
259,175.9,14.0,2.5,6973.9047619047615,113.45,101.4,150.0
260,205.23,10.0,3.797568000000001,13901.309523809525,208.4,114.4,114.0
261,420.3,15.0,2.95625,7194.757695824444,182.16,0.0,0.0
262,-707.3,18.0,3.742857142857143,7756.923076923077,106.72,0.0,120.0
263,-1221.14,17.0,4.06,4417.826086956522,208.0,98.0,56.0
264,-705.88,19.0,3.5,6256.2,208.0,98.0,56.0
265,-614.3,15.0,3.358,4207.333333333333,110.4,0.0,0.0
266,-167.92,8.0,3.1,4812.0,154.10000000000002,0.0,0.0
267,40.92,13.0,3.233,7957.57281553398,165.60000000000002,0.0,0.0
268,-44.34,8.0,2.823,4779.83651226158,149.3,0.0,0.0
269,184.33,11.0,2.903,6038.338926174497,165.60000000000002,0.0,0.0
270,-155.47,15.0,3.525,7309.642857142857,165.60000000000002,0.0,0.0
271,1.82,9.0,2.575,8027.114427860696,110.4,0.0,88.8
272,-691.47,12.0,2.45,2479.25,22.0,104.0,105.0
273,-356.59,14.0,3.911538461538461,6908.333333333333,179.0,104.0,78.0
274,-324.7,14.0,3.832,6130.0,179.0,104.0,72.0
275,13.1,12.0,3.5780769036366387,5760.0,204.0,90.0,90.0
276,-557.02,10.0,3.061363636363637,3331.029411764706,112.0,90.0,90.0
277,313.0,15.0,3.181578943603917,3987.2093023255816,204.0,90.0,90.0
278,2381.35,19.0,0.3868888888888889,4939.014620468656,204.0,90.0,90.0
279,-403.45,23.0,3.2058823529411766,4316.451612903225,221.07000000000002,102.04,105.0
280,266.99,23.0,2.450136363636364,7144.761904761905,226.0,99.84,115.8
281,-247.57,15.0,2.0,5877.321428571428,19.8,93.6,0.0
282,-1210.33,20.0,4.0,4456.4,182.5,130.0,120.0
283,-401.61,23.0,3.1,5512.954545454545,193.75,130.0,120.0
284,-60.97,26.0,3.4,6593.958333333333,297.5,104.0,0.0
285,-697.13,22.0,3.4,5286.493506493506,182.5,130.0,120.0
286,-636.59,23.0,3.3,4212.53164556962,182.5,130.0,120.0
287,-209.26,20.0,3.4,4831.756357185098,302.5,130.0,0.0
288,-609.78,22.0,3.3,5704.8,182.5,130.0,120.0
289,1159.53,20.0,2.5,7325.333333333333,207.0,0.0,114.0
290,1165.53,20.0,2.5,7506.470588235294,207.0,0.0,114.0
291,742.69,18.0,3.436,8944.21052631579,244.2482,90.0,70.71000000000001
292,1488.34,25.0,2.5,9842.598010532476,229.86,79.8,76.4
293,1491.18,23.0,2.602702702702703,10463.824289405686,238.5188,75.9672,102.71600000000001
294,-711.77,17.0,2.845090909090909,7658.802395209581,23.1,109.2,102.0
295,798.82,30.0,2.5,3934.647887323944,160.0,104.0,120.0
296,-1.24,15.0,1.95,8123.538461538462,30.8,145.6,138.0
297,1563.34,23.0,2.006896551724138,5500.0,217.28,77.1,111.5
298,1375.42,18.0,1.9853658536585368,4552.682926829269,210.38,77.1,111.5
299,575.77,23.0,2.5,9615.142857142857,186.8,115.0,134.0
300,519.62,19.0,2.45,9265.263157894737,186.8,115.0,70.0
301,258.82,21.0,2.9,10292.586206896553,186.8,115.0,134.0
302,95.45,15.0,2.855,7959.1,186.8,115.0,134.0
303,682.7,18.0,2.21,9428.46153846154,186.8,115.0,134.0
304,1094.49,37.0,2.5,6400.923076923077,138.59,119.08,134.13
305,635.65,26.0,2.5,4478.75,122.39000000000001,119.08,139.18200000000002
306,1501.11,34.0,2.5,6136.025641025641,188.72,131.04,132.0
307,1610.33,27.0,2.5,7837.34693877551,205.01999999999998,120.64,140.4
308,1598.43,23.0,2.5,10280.227272727272,204.36,117.52,138.0
309,1063.82,18.0,2.5,9935.897435897436,169.59,119.08,111.132
310,-916.27,15.0,3.3,5925.2830188679245,59.4,280.8,0.0
311,372.01,21.0,2.15,6823.809523809524,211.3,98.4,96.0
312,808.53,27.0,1.85,922.8333333333334,204.57999999999998,108.16,97.8
313,464.19,20.0,2.990923076923077,5976.526315789473,187.8,0.0,72.0
314,632.52,25.0,2.9569565217391305,7264.222222222223,187.8,0.0,72.0
315,-302.4,16.0,4.241269841269841,10193.2,200.22,119.44000000000001,0.0
316,901.63,16.0,2.501639344262295,7395.409836065573,200.22,119.44000000000001,0.0
317,865.69,12.0,2.5,8818.692307692309,200.22,119.44000000000001,0.0
318,508.42,17.0,2.963235294117647,5644.37037037037,197.72,100.94000000000001,0.0
319,-615.47,15.0,3.01,9860.5,126.0,126.0,72.0
320,-238.45,21.0,4.3575,6557.6,206.44,106.08,120.0
321,-258.51,23.0,4.404999999999999,5751.046511627907,206.44,106.08,120.0
322,-54.1,22.0,4.154999999999999,6984.222222222223,206.44,106.08,120.0
323,1469.79,25.0,2.3,9656.0,206.44,106.08,120.0
324,587.82,26.0,3.196551724137931,10478.153846153846,185.9,49.95,71.1
325,1700.85,19.0,2.01,10465.6,227.0,78.3,89.0
326,-172.76,17.0,2.8991625,9710.526315789471,211.75,98.4,99.0
327,-545.77,22.0,3.4415333333333336,8819.816513761469,201.85,98.4,78.0
328,403.06,19.0,2.0653,7302.666666666667,209.83,99.96000000000001,85.2
329,-269.84,22.0,3.068792307692308,10217.2,193.5,0.0,84.0
330,1619.65,23.0,2.3,6372.666666666667,234.77320000000003,95.9088,135.69
331,1701.88,18.0,2.3,10834.222222222224,238.61950000000002,87.8176,143.328
332,1796.67,17.0,2.23,10172.666666666666,245.961,91.0,121.5
333,487.25,20.0,2.8,4627.052631578948,174.8,0.0,0.0
334,710.23,21.0,1.7,6099.375,238.5,126.0,111.0
335,201.1,21.0,2.45,6382.312298479963,225.65,94.55,99.6
336,830.19,27.0,1.6,6937.291666666667,215.38,90.16,88.76
337,1334.24,14.0,2.371428571428572,4629.522431259045,237.77599999999998,125.632,130.26
338,1544.63,12.0,2.129169230769231,6909.94560994561,237.641,117.0,121.2
339,291.22,14.0,3.5431200000000005,6120.696721311476,220.355,117.208,122.4
340,75.63,15.0,1.5,8237.368421052632,16.2,88.2,120.0
341,53.55,8.0,1.9,8481.875,111.8,93.6,120.0
342,382.73,15.0,2.0,6156.285714285715,201.8,93.6,120.0
343,-251.63,15.0,2.0,8170.222222222223,16.2,88.2,120.0
344,-382.54,15.0,2.2,7406.071428571428,32.0,96.0,64.0
345,108.08,14.0,3.4420000076293946,5760.0,200.0,118.4,0.0
346,168.08,13.0,3.322222179836697,5488.260869565217,200.0,118.4,0.0
347,167.67,13.0,3.3119999980926518,4578.714285714285,202.2,128.8,0.0
348,78.64,18.0,3.047962962962964,4894.967741935484,201.5,88.4,177.0
349,-434.81,15.0,2.3,6410.555555555556,36.0,63.0,150.0
350,939.66,15.0,2.3788,7186.0,232.947,119.08,120.0
351,1683.85,15.0,2.055,7855.5,237.165,124.28,120.0
352,1155.81,17.0,2.3166666666666678,8334.066666666668,198.78300000000002,2.6,124.02
353,1522.96,16.0,1.9209,5726.5,220.7,119.6,123.0
354,805.19,20.0,2.275,8624.755244755244,213.8,92.4,120.0
355,558.08,13.0,3.0,7366.8500687757905,215.54000000000002,91.74,108.0
356,864.86,20.0,2.543229166666667,5608.111111111111,231.3,145.6,120.0
357,228.94,20.0,2.5,5134.5,214.0,98.0,72.0
358,-216.25,17.0,3.642635294117648,6533.802816901408,229.0,98.0,96.0
359,1609.77,18.0,2.040909090909091,10623.492063492064,226.35,84.15,124.8
360,1597.46,19.0,1.8,5831.7,206.44,106.08,120.0
361,749.88,22.0,3.0,5275.117647058823,206.44,106.08,120.0
362,432.04,19.0,3.5,8812.888888888889,206.77,107.64,120.0
363,429.34,15.0,2.5,2056.0714285714284,208.4,124.8,150.0
364,406.39,15.0,2.5,1329.6,208.4,124.8,150.0
365,1645.88,24.0,1.78,5505.0,201.0,145.6,120.0
366,1615.81,27.0,1.7100000000000002,4651.481481481482,201.0,145.6,120.0
367,1716.36,22.0,1.708695652173913,7956.0,225.7,82.5,120.0
368,242.86,20.0,2.5,7508.94660894661,230.24,81.84,138.0
369,-527.09,16.0,2.9,2783.0508474576272,178.0,96.0,117.0
370,995.51,27.0,2.5,6406.16,201.6,108.0,122.0
371,932.95,24.0,2.5,6371.36,201.6,108.0,122.0
372,-1042.23,15.0,3.0451679999999994,8458.681318681318,0.0,0.0,108.0
373,771.61,10.0,1.4,8233.333333333334,113.0,105.0,125.0
374,696.66,12.0,1.5,6921.111111111111,113.0,105.0,125.0
375,-753.31,10.0,2.45,4628.369565217391,21.0,105.0,125.0
376,-717.18,20.0,3.6976714285714287,6700.472255017709,223.0,120.0,105.0
377,911.44,20.0,3.628457142857143,8162.790697674418,309.3,124.8,105.0
378,-350.22,17.0,4.88125,5594.0,201.0,125.8,90.0
379,-233.82,21.0,5.907407407407407,6168.831168831169,201.0,125.8,90.0
380,-1866.87,15.0,4.1125,6279.3,24.0,120.0,0.0
381,-131.55,15.0,3.922118181818182,10040.5,212.0,126.0,54.0
382,-148.62,22.0,4.611764705882353,10596.372549019608,201.0,125.8,90.0
383,1876.18,27.0,2.5,8937.222222222223,257.5,130.0,90.0
384,1625.27,18.0,2.5,6294.666666666667,211.5,130.0,90.0
385,1770.6,27.0,2.5,5607.2972972972975,257.5,130.0,90.0
386,1742.96,25.0,2.5,4330.25,119.5,130.0,90.0
387,1764.19,27.0,2.5,3699.777777777778,119.5,130.0,90.0
388,456.16,23.0,3.7,7326.041666666667,178.0,125.8,96.0
389,-998.34,15.0,2.95,5226.086956521739,16.5,78.0,0.0
390,-582.69,15.0,2.5708333333333333,7885.238095238095,16.5,78.0,120.0
391,-606.88,15.0,2.5278260869565217,6110.6349206349205,16.5,78.0,120.0
392,-16.35,15.0,2.5,7518.214285714285,70.5,78.0,120.0
393,-716.67,15.0,2.5,3560.9523809523807,16.5,78.0,0.0
394,333.95,19.0,3.671951219512195,8920.87912087912,210.29,124.28,102.0
395,727.1,25.0,3.3425,9819.166666666666,209.96,122.72,102.0
396,764.59,27.0,3.248854961832061,7313.59375,210.62,125.84,102.0
397,563.84,22.0,3.479710144927536,9149.154929577464,211.9125,131.95,108.0
398,1189.74,17.0,2.5,9190.75,211.82999999999998,131.56,108.0
399,-1169.08,15.0,3.2221463414634144,6212.0,16.5,78.0,0.0
400,-695.83,15.0,2.5,4221.263157894737,16.5,78.0,0.0
401,-665.62,15.0,2.5,5333.75,16.0,128.0,126.0
402,-643.96,15.0,3.2,7576.382978723404,180.0,0.0,180.0
403,-399.78,15.0,2.8,5906.981132075472,180.0,0.0,180.0
404,32.85,10.0,3.5,8383.939393939394,186.3,0.0,100.2
405,-1145.98,8.0,3.6,7419.192546583851,62.1,0.0,181.2
406,-0.97,15.0,2.5,8201.75,92.0,0.0,0.0
407,-337.4,15.0,3.1,6407.142857142857,128.0,63.0,150.0
408,438.65,15.0,2.1,7456.0,128.0,126.0,150.0
409,848.98,15.0,2.5,7693.066666666667,201.6,63.0,150.0
410,449.67,16.0,2.69,8992.923076923076,153.0,114.4,78.0
411,-1035.15,15.0,5.38,11044.670658682637,153.0,114.4,78.0
412,-1092.21,13.0,5.38,10502.634730538924,153.0,114.4,81.0
413,-427.99,15.0,3.75,6746.72268907563,153.0,114.4,81.0
414,417.6,20.0,2.86,9145.333333333334,153.55,117.0,84.0
